gate,family,description,verdict,live_safe,samples,rows,sample_share_pct,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,avg_4h_return_pct,avg_12h_return_pct,avg_24h_return_pct,research_score,warnings,filters
SYMBOL_SIDE_SCORE_GE_60_DOGEUSDT_SHORT,symbol_side_score,DOGE/USDT + SHORT + score >= 60.,SMALL_SAMPLE_POSITIVE,True,12,12,4.07,0.1571,0.2332,66.67,50.0,33.33,2.4333,-2.3617,1.03,1.5451,-1.4176,0.1571,0.0431,0.1437,0.5191,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""DOGE/USDT""], ""side_in"": [""SHORT""], ""score_min"": 60}"
SYMBOL_SIDE_SCORE_GE_60_BNBUSDT_LONG,symbol_side_score,BNB/USDT + LONG + score >= 60.,SMALL_SAMPLE_POSITIVE,True,11,11,3.73,0.1679,0.0474,54.55,72.73,54.55,2.1094,-1.5351,1.374,1.9275,-0.9525,0.1679,-0.4339,0.5033,0.3891,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""BNB/USDT""], ""side_in"": [""LONG""], ""score_min"": 60}"
SYMBOL_SIDE_DOGEUSDT_SHORT,symbol_side,DOGE/USDT فقط SHORT.,SMALL_SAMPLE_POSITIVE,True,25,25,8.47,0.039,0.132,56.0,52.0,32.0,2.6864,-2.2261,1.207,2.9224,-2.7253,0.039,0.0177,0.2309,0.3463,"[""مثبت است ولی sample کمتر از حداقل 30 است.""]","{""symbol_in"": [""DOGE/USDT""], ""side_in"": [""SHORT""]}"
REGIME_UNKNOWN,regime,فقط regime=UNKNOWN.,SMALL_SAMPLE_POSITIVE,True,10,10,3.39,0.0242,-0.0291,50.0,20.0,40.0,1.5277,-2.2235,0.687,1.0741,-0.9495,0.0242,-0.0035,-1.4731,-0.2173,"[""مثبت است ولی sample کمتر از حداقل 30 است."", ""Stop rate از Target hit بیشتر است؛ ریسک بالاست.""]","{""regime_in"": [""UNKNOWN""]}"
REGIME_SIDEWAYS,regime,فقط regime=SIDEWAYS.,SMALL_SAMPLE_POSITIVE,True,10,10,3.39,0.0185,-0.6956,30.0,50.0,60.0,2.0087,-2.2926,0.876,4.8272,-1.7382,0.0185,-0.8235,-0.5985,-0.4017,"[""مثبت است ولی sample کمتر از حداقل 30 است."", ""Stop rate از Target hit بیشتر است؛ ریسک بالاست.""]","{""regime_in"": [""SIDEWAYS""]}"
SYMBOL_SIDE_BNBUSDT_LONG,symbol_side,BNB/USDT فقط LONG.,NEAR_BREAKEVEN_WATCH,True,30,30,10.17,-0.0022,0.0104,50.0,56.67,50.0,1.6431,-1.6906,0.972,1.9275,-1.051,-0.0022,-0.3255,-0.0784,0.0617,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""BNB/USDT""], ""side_in"": [""LONG""]}"
SYMBOL_WATCH_OR_ACTIONABLE_BNBUSDT,symbol_actionability,BNB/USDT + WATCHLIST/ACTIONABLE.,NEAR_BREAKEVEN_WATCH,True,36,36,12.2,-0.0496,0.0493,52.78,52.78,52.78,1.7171,-1.7145,1.001,1.9275,-1.6571,-0.0496,-0.257,-0.063,-0.0078,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""BNB/USDT""], ""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SYMBOL_BNBUSDT,symbol,فقط نماد BNB/USDT.,NEAR_BREAKEVEN_WATCH,True,50,50,16.95,-0.0871,0.0364,52.0,50.0,48.0,1.6255,-1.7328,0.938,1.9275,-1.6571,-0.0871,-0.2894,-0.161,-0.0433,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""BNB/USDT""]}"
SYMBOL_DOGEUSDT,symbol,فقط نماد DOGE/USDT.,NEAR_BREAKEVEN_WATCH,True,48,48,16.27,-0.0738,-0.052,43.75,50.0,41.67,2.555,-2.4261,1.053,2.9224,-2.7253,-0.0738,-0.2218,-0.1383,-0.079,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""DOGE/USDT""]}"
SYMBOL_WATCH_OR_ACTIONABLE_DOGEUSDT,symbol_actionability,DOGE/USDT + WATCHLIST/ACTIONABLE.,NEAR_BREAKEVEN_WATCH,True,38,38,12.88,-0.0975,-0.052,42.11,50.0,42.11,2.6617,-2.4716,1.077,2.894,-2.7253,-0.0975,-0.2033,-0.159,-0.1293,"[""تقریباً نزدیک صفر است؛ شاید با خروج/stop بهتر قابل تحقیق باشد.""]","{""symbol_in"": [""DOGE/USDT""], ""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
REGIME_TRENDING_BEAR,regime,فقط regime=TRENDING_BEAR.,REJECT_NEGATIVE_EDGE,True,138,138,46.78,-0.136,-0.049,43.48,50.0,44.2,2.1768,-2.2881,0.951,2.9224,-2.9327,-0.136,-0.329,-0.1894,-0.1807,"[""میانگین بازده منفی است.""]","{""regime_in"": [""TRENDING_BEAR""]}"
WATCH_OR_ACTIONABLE_SHORT,actionability_side,WATCHLIST/ACTIONABLE فقط سمت SHORT.,REJECT_NEGATIVE_EDGE,True,105,105,35.59,-0.1452,-0.0393,43.81,52.38,49.52,2.3087,-2.3579,0.979,2.7268,-2.9327,-0.1452,-0.3512,-0.1634,-0.2115,"[""میانگین بازده منفی است.""]","{""side_in"": [""SHORT""], ""actionability_in"": [""WATCHLIST"", ""ACTIONABLE"", ""HIGH_ACTIONABILITY""]}"
SHORT_ONLY,side,فقط معاملات SHORT.,REJECT_NEGATIVE_EDGE,True,145,145,49.15,-0.1484,-0.0531,42.76,48.97,44.83,2.13,-2.3363,0.912,2.9224,-2.9327,-0.1484,-0.3885,-0.2744,-0.2244,"[""میانگین بازده منفی است.""]","{""side_in"": [""SHORT""]}"
