source,run_id,decision_id,candle_timestamp,symbol,timeframe,provider,side,score,confidence_label,risk_label,actionability,is_actionable,entry_price,entry_zone,stop_zone,targets,regime_label,regime_confidence,long_score,short_score,trend_score,momentum_score,volume_score,structure_score,risk_penalty,historical_edge_score,available_future_candles,evaluation_status,target_1_hit,target_2_hit,target_3_hit,stop_hit,mfe_pct,mae_pct,evaluated_candles,return_after_4h_pct,return_after_12h_pct,return_after_24h_pct
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_120,2026-03-21 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,44,Low,Low,MONITOR_ONLY,False,70393.7,نامشخص,نامشخص,[],TRENDING_BEAR,62,0,44,28,20,0,5,0,-11,646,COMPLETE,False,False,False,False,0.1705,-3.2335,6,-2.0942,-2.0954,-3.1179
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_126,2026-03-22 16:00:00,BTC/USDT,4h,kucoin,SHORT,51,Low,Low,NOT_ACTIONABLE,False,68198.9,"68,060 - 68,430","69,310","[""67,273"", ""66,532"", ""65,791""]",TRENDING_BEAR,62,0,51,28,27,0,3,0,-11,640,COMPLETE,False,False,False,True,1.2354,-5.297,6,0.4893,-0.1969,-3.6517
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_132,2026-03-23 16:00:00,BTC/USDT,4h,kucoin,LONG,51,Low,Low,NOT_ACTIONABLE,False,70689.3,"70,381 - 70,874","69,212","[""71,921"", ""72,906"", ""73,891""]",UNKNOWN,25,51,3,17,28,5,3,-2,0,634,COMPLETE,False,False,False,True,1.0062,-2.5298,6,0.3023,0.8573,-1.8675
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_138,2026-03-24 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,37,Low,Low,MONITOR_ONLY,False,69369.2,نامشخص,نامشخص,[],TRENDING_BEAR,37,0,37,17,22,0,6,0,-12,628,COMPLETE,False,False,False,False,3.8161,-0.1171,6,1.7114,2.2408,2.1781
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_144,2026-03-25 16:00:00,BTC/USDT,4h,kucoin,LONG,71,Medium-High,Low,WATCHLIST,False,70880.1,"70,597 - 71,050","69,523","[""72,011"", ""72,915"", ""73,820""]",TRENDING_BULL,75,71,0,28,22,3,6,-4,12,622,COMPLETE,False,False,False,True,1.0071,-3.8416,6,0.6391,-1.1203,-3.3236
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_150,2026-03-26 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,31,Low,Low,MONITOR_ONLY,False,68524.3,نامشخص,نامشخص,[],TRENDING_BULL,37,1,31,17,28,0,4,-2,0,616,COMPLETE,False,False,False,False,1.383,-4.3345,6,0.4267,0.0064,-3.6076
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_156,2026-03-27 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,46,Low,Medium,MONITOR_ONLY,False,66052.2,نامشخص,نامشخص,[],TRENDING_BEAR,62,0,46,28,19,3,7,-13,0,610,COMPLETE,False,False,False,False,1.8761,-0.3611,6,0.5408,0.7742,1.3088
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_162,2026-03-28 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,40,Low,Low,MONITOR_ONLY,False,66916.7,نامشخص,نامشخص,[],UNKNOWN,25,0,40,17,22,0,3,-2,0,604,COMPLETE,False,False,False,False,0.3197,-1.136,6,-0.7855,-0.3679,-0.8366
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_168,2026-03-29 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,39,Low,Low,MONITOR_ONLY,False,66356.9,نامشخص,نامشخص,[],TRENDING_BEAR,62,0,39,28,19,0,3,-2,-11,598,COMPLETE,False,False,False,False,2.7474,-2.0491,6,-0.5151,1.9156,0.2924
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_174,2026-03-30 16:00:00,BTC/USDT,4h,kucoin,SHORT,69,Medium,Low,WATCHLIST,False,66550.9,"66,410 - 66,785","67,674","[""65,615"", ""64,866"", ""64,117""]",TRENDING_BEAR,100,0,69,28,24,7,6,0,-3,592,COMPLETE,False,False,False,True,0.8473,-3.055,6,-0.3719,-1.2254,-1.9364
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_180,2026-03-31 16:00:00,BTC/USDT,4h,kucoin,LONG,77,Medium-High,Low,WATCHLIST,False,67839.6,"67,568 - 68,002","66,537","[""68,925"", ""69,794"", ""70,662""]",TRENDING_BULL,37,77,0,28,28,11,3,0,0,586,COMPLETE,True,False,False,False,2.1874,-0.3625,6,0.6527,1.2612,0.4776
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_186,2026-04-01 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,36,Low,Low,MONITOR_ONLY,False,68163.6,نامشخص,نامشخص,[],SIDEWAYS,62,36,15,28,17,3,3,-5,0,580,COMPLETE,False,False,False,False,0.7271,-3.5817,6,-0.0669,-1.813,-1.7393
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_192,2026-04-02 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,25,Low,Medium,MONITOR_ONLY,False,66978.0,نامشخص,نامشخص,[],SIDEWAYS,37,2,25,17,17,3,7,-9,0,574,COMPLETE,False,False,False,False,0.6009,-1.0435,6,-0.1065,0.1042,-0.1408
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_198,2026-04-03 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,18,Low,Medium,MONITOR_ONLY,False,66883.7,نامشخص,نامشخص,[],SIDEWAYS,62,0,18,17,17,0,3,-9,0,568,COMPLETE,False,False,False,False,0.9986,-0.1543,6,0.1199,0.1929,0.6039
BACKTEST,backtest_20260707_115623,backtest_20260707_115623_BTCUSDT_204,2026-04-04 16:00:00,BTC/USDT,4h,kucoin,NEUTRAL,12,Low,Medium,MONITOR_ONLY,False,67287.6,نامشخص,نامشخص,[],SIDEWAYS,62,12,11,6,20,0,3,-7,0,562,COMPLETE,False,False,False,False,0.8224,-1.002,6,0.022,-0.6972,0.1009
