fold,variant,threshold_pct,sample_count,win_count,loss_count,flat_count,win_rate,avg_return,median_return,expectancy,profit_factor,max_drawdown,total_return,expectancy_standard_error,expectancy_ci95_lower,expectancy_ci95_upper,viable,objective
MAIN,EXPECTANCY_BASE,0.5,161,70,91,0,0.434783,0.106507,-0.503034,0.106507,1.062724,-85.17387,17.147659,0.371737,-0.622096,0.835111,True,-0.33523771212198117
MAIN,EXPECTANCY_BASE,0.3,483,226,257,0,0.467909,0.083488,-0.228451,0.083488,1.056836,-175.85728,40.3246,0.186965,-0.282964,0.449939,True,-1.2620115240532956
MAIN,EXPECTANCY_BASE,0.0,1161,530,631,0,0.456503,-0.077439,-0.243853,-0.077439,0.944057,-321.798115,-89.90673,0.109369,-0.291803,0.136924,False,-inf
MAIN,EXPECTANCY_BASE,0.05,929,431,498,0,0.46394,-0.051771,-0.188212,-0.051771,0.962068,-251.416985,-48.095164,0.12089,-0.288715,0.185173,False,-inf
MAIN,EXPECTANCY_BASE,0.1,834,387,447,0,0.464029,-0.009388,-0.199793,-0.009388,0.993122,-233.182905,-7.829669,0.128711,-0.261661,0.242885,False,-inf
MAIN,EXPECTANCY_BASE,0.15,788,367,421,0,0.465736,-0.002017,-0.176183,-0.002017,0.998518,-228.91543,-1.589037,0.132461,-0.26164,0.257607,False,-inf
MAIN,EXPECTANCY_BASE,0.2,712,336,376,0,0.47191,0.013673,-0.160065,0.013673,1.009855,-222.278535,9.735524,0.142363,-0.265358,0.292705,False,-inf
MAIN,EXPECTANCY_BASE,0.25,596,279,317,0,0.468121,-0.003805,-0.231131,-0.003805,0.997364,-196.361231,-2.267942,0.160403,-0.318195,0.310585,False,-inf
MAIN,EXPECTANCY_BASE,0.4,304,142,162,0,0.467105,0.067035,-0.340374,0.067035,1.042491,-119.88598,20.378702,0.244527,-0.412238,0.546308,False,-inf
MAIN,EXPECTANCY_BASE,0.6,57,23,34,0,0.403509,-0.532602,-0.635033,-0.532602,0.726812,-76.039303,-30.358287,0.583261,-1.675793,0.61059,False,-inf
MAIN,EXPECTANCY_BASE,0.75,12,4,8,0,0.333333,-1.925597,-2.504082,-1.925597,0.286734,-26.880325,-23.107161,1.120565,-4.121904,0.270711,False,-inf
MAIN,EXPECTANCY_BASE,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-inf
WF_1,EXPECTANCY_BASE,0.0,501,195,306,0,0.389222,-0.498586,-0.92649,-0.498586,0.641102,-293.070254,-249.791614,0.132765,-0.758806,-0.238366,False,-inf
WF_1,EXPECTANCY_BASE,0.05,482,187,295,0,0.387967,-0.49507,-0.939952,-0.49507,0.644981,-283.996266,-238.623596,0.136589,-0.762785,-0.227354,False,-inf
WF_1,EXPECTANCY_BASE,0.1,444,174,270,0,0.391892,-0.458431,-0.921479,-0.458431,0.669194,-248.916155,-203.543485,0.144636,-0.741919,-0.174944,False,-inf
WF_1,EXPECTANCY_BASE,0.15,406,155,251,0,0.381773,-0.437636,-1.024091,-0.437636,0.683029,-223.05305,-177.68038,0.152165,-0.735881,-0.139392,False,-inf
WF_1,EXPECTANCY_BASE,0.2,355,140,215,0,0.394366,-0.322346,-0.953415,-0.322346,0.758134,-162.315888,-114.432805,0.163384,-0.642579,-0.002113,False,-inf
WF_1,EXPECTANCY_BASE,0.25,309,128,181,0,0.414239,-0.262154,-0.692484,-0.262154,0.800805,-128.982732,-81.005513,0.177423,-0.609903,0.085595,False,-inf
WF_1,EXPECTANCY_BASE,0.3,237,99,138,0,0.417722,-0.268407,-0.781831,-0.268407,0.79409,-105.55572,-63.612377,0.203751,-0.667758,0.130945,False,-inf
WF_1,EXPECTANCY_BASE,0.4,88,38,50,0,0.431818,-0.137877,-0.618112,-0.137877,0.903251,-42.669344,-12.133178,0.415276,-0.951818,0.676064,False,-inf
WF_1,EXPECTANCY_BASE,0.5,15,5,10,0,0.333333,-1.318018,-1.260763,-1.318018,0.300109,-19.800752,-19.770266,0.658945,-2.609551,-0.026485,False,-inf
WF_1,EXPECTANCY_BASE,0.6,6,1,5,0,0.166667,-1.779268,-1.779495,-1.779268,0.17581,-9.475863,-10.675606,1.002785,-3.744727,0.186191,False,-inf
WF_1,EXPECTANCY_BASE,0.75,3,0,3,0,0.0,-2.442129,-2.359247,-2.442129,0.0,-4.967139,-7.326386,0.91735,-4.240136,-0.644122,False,-inf
WF_1,EXPECTANCY_BASE,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-inf
WF_2,EXPECTANCY_BASE,0.3,140,71,69,0,0.507143,1.802261,0.045263,1.802261,1.874796,-76.937271,252.316597,0.728156,0.375075,3.229448,True,4.999321133042008
WF_2,EXPECTANCY_BASE,0.25,208,103,105,0,0.495192,1.380414,-0.037826,1.380414,1.738389,-103.499029,287.126051,0.528167,0.345207,2.415621,True,3.450513668256315
