side,primary_event,cost_gate_rejection_reason,rows
LONG,BREAKOUT_CONFIRMATION,COST_TOO_HIGH,1
LONG,BREAKOUT_CONFIRMATION,INVALID_TARGET,691
LONG,BREAKOUT_CONFIRMATION,NET_RR_TOO_LOW,404
LONG,BREAKOUT_CONFIRMATION,PASS,235
LONG,BREAKOUT_CONFIRMATION,TARGET_TO_COST_TOO_LOW,17
LONG,EXTREME_MEAN_REVERSION,PASS,1
LONG,REGIME_TRANSITION,INVALID_TARGET,102
LONG,REGIME_TRANSITION,NET_RR_TOO_LOW,65
LONG,REGIME_TRANSITION,PASS,21
LONG,REGIME_TRANSITION,TARGET_TO_COST_TOO_LOW,2
LONG,VOLATILITY_EXPANSION,INVALID_TARGET,153
LONG,VOLATILITY_EXPANSION,NET_RR_TOO_LOW,79
LONG,VOLATILITY_EXPANSION,PASS,71
SHORT,BREAKOUT_CONFIRMATION,COST_TOO_HIGH,18
SHORT,BREAKOUT_CONFIRMATION,INVALID_STOP,630
SHORT,BREAKOUT_CONFIRMATION,NET_RR_TOO_LOW,140
SHORT,BREAKOUT_CONFIRMATION,PASS,309
SHORT,BREAKOUT_CONFIRMATION,TARGET_TO_COST_TOO_LOW,4
SHORT,EXTREME_MEAN_REVERSION,INVALID_STOP,3
SHORT,REGIME_TRANSITION,INVALID_STOP,146
SHORT,REGIME_TRANSITION,NET_RR_TOO_LOW,29
SHORT,REGIME_TRANSITION,PASS,43
SHORT,VOLATILITY_EXPANSION,COST_TOO_HIGH,4
SHORT,VOLATILITY_EXPANSION,INVALID_STOP,258
SHORT,VOLATILITY_EXPANSION,NET_RR_TOO_LOW,27
SHORT,VOLATILITY_EXPANSION,PASS,136
