feature,coefficient
num__event_execution_cost_pct,0.26777396334186565
cat__primary_event_VOLATILITY_EXPANSION,0.23301852752130006
cat__regime_UNKNOWN,0.20100294964334794
cat__regime_QUIET,0.1596218903437157
cat__primary_event_EXTREME_MEAN_REVERSION,0.15798898700599123
num__volume_score,0.14410961831702832
num__momentum_score,0.09454319209001795
cat__side_SHORT,0.06568494283776852
num__gross_target_to_cost,0.04515719333745356
cat__symbol_ETH/USDT,0.02063337990722873
cat__event_source_CAUSAL_ENTRY_PROXY,0.004602552757344708
cat__timeframe_4h,0.004602552757344156
cat__symbol_BTC/USDT,0.0006651830963868496
cat__regime_TRENDING_BULL,-0.003756527291334848
num__net_reward_risk,-0.009275974117672892
num__trend_score,-0.013685631624508155
cat__symbol_SOL/USDT,-0.01669601024626808
cat__regime_VOLATILE,-0.01766015941237336
num__risk_penalty,-0.02455502721186794
num__target_distance_pct,-0.036058170378333095
num__event_count,-0.03646350793492852
cat__side_LONG,-0.06108239008040328
num__regime_score,-0.06285174922873521
num__structure_score,-0.09922409505225052
cat__regime_TRENDING_BEAR,-0.14454812085774543
cat__primary_event_BREAKOUT_CONFIRMATION,-0.1643800640224785
cat__regime_SIDEWAYS,-0.19005747966826703
cat__primary_event_REGIME_TRANSITION,-0.22202489774745574
num__stop_distance_pct,-0.2575336153185839
