variant,side,model,feature,coefficient
ARCH_V2_BASE,LONG,RETURN_RIDGE,trend_norm,0.28696990920189575
ARCH_V2_BASE,LONG,RETURN_RIDGE,momentum_capped,-0.057071862725708154
ARCH_V2_BASE,LONG,RETURN_RIDGE,volume_confirm,0.2671152524333608
ARCH_V2_BASE,LONG,RETURN_RIDGE,regime_norm,0.0733246169293934
ARCH_V2_BASE,LONG,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,atr_log,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,rsi_centered,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,macd_per_vol,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,cost_pct,-0.30686979929042024
ARCH_V2_BASE,LONG,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,trend_per_vol,0.28696990920189613
ARCH_V2_BASE,LONG,RETURN_RIDGE,momentum_per_vol,-0.05707186272570744
ARCH_V2_BASE,LONG,RETURN_RIDGE,trend_volume_interaction,0.13344734022416677
ARCH_V2_BASE,LONG,RETURN_RIDGE,structure_gate,0.319302223614594
ARCH_V2_BASE,LONG,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,symbol_BTC/USDT,-0.04286166705736758
ARCH_V2_BASE,LONG,RETURN_RIDGE,symbol_ETH/USDT,-0.012846618217167958
ARCH_V2_BASE,LONG,RETURN_RIDGE,symbol_SOL/USDT,0.05570828527452673
ARCH_V2_BASE,LONG,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,missing_indicator_3,0.0
ARCH_V2_BASE,LONG,RETURN_RIDGE,missing_indicator_4,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,trend_norm,0.2588816993644997
ARCH_V2_BASE,LONG,WIN_LOGISTIC,momentum_capped,-0.0051913493312163795
ARCH_V2_BASE,LONG,WIN_LOGISTIC,volume_confirm,0.23444685592289896
ARCH_V2_BASE,LONG,WIN_LOGISTIC,regime_norm,-0.12256116546597814
ARCH_V2_BASE,LONG,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,rsi_centered,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,macd_per_vol,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,cost_pct,0.045303838984320145
ARCH_V2_BASE,LONG,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,trend_per_vol,0.2588816993644997
ARCH_V2_BASE,LONG,WIN_LOGISTIC,momentum_per_vol,-0.0051913493312163795
ARCH_V2_BASE,LONG,WIN_LOGISTIC,trend_volume_interaction,-0.032976994748573546
ARCH_V2_BASE,LONG,WIN_LOGISTIC,structure_gate,0.19599676629853985
ARCH_V2_BASE,LONG,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_BASE,LONG,WIN_LOGISTIC,symbol_BTC/USDT,0.0077149212513953555
