variant,fold,train_start,train_end,test_start,test_end,no_overlap,sample_count,coverage,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown,average_win,average_loss,positive
ARCH_V2_BASE,1,2017-11-10T12:00:00+00:00,2022-10-11T16:00:00+00:00,2022-10-15T20:00:00+00:00,2024-01-28T20:00:00+00:00,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ARCH_V2_BASE,2,2017-11-10T12:00:00+00:00,2024-01-27T16:00:00+00:00,2024-01-30T08:00:00+00:00,2025-04-10T12:00:00+00:00,True,483,0.1664369400413508,0.4492753623188406,-0.06126414492753628,-0.361847,0.9519020632006355,-29.590582000000026,-169.58442399999998,2.698730976958525,-2.312839112781955,False
ARCH_V2_BASE,3,2017-11-10T12:00:00+00:00,2025-04-08T20:00:00+00:00,2025-04-11T20:00:00+00:00,2026-07-07T12:00:00+00:00,True,814,0.26583932070542127,0.43366093366093367,-0.249643167076167,-0.4325275,0.8204819866696357,-203.20953799999992,-378.96585400000004,2.631057869688385,-2.4554728112798268,False
ARCH_V2_NO_MOMENTUM,1,2017-11-10T12:00:00+00:00,2022-10-11T16:00:00+00:00,2022-10-15T20:00:00+00:00,2024-01-28T20:00:00+00:00,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ARCH_V2_NO_MOMENTUM,2,2017-11-10T12:00:00+00:00,2024-01-27T16:00:00+00:00,2024-01-30T08:00:00+00:00,2025-04-10T12:00:00+00:00,True,138,0.04755341144038594,0.43478260869565216,-0.2208963623188406,-0.353715,0.8283940757089445,-30.483698000000004,-74.11452200000002,2.452568283333333,-2.2774076282051285,False
ARCH_V2_NO_MOMENTUM,3,2017-11-10T12:00:00+00:00,2025-04-08T20:00:00+00:00,2025-04-11T20:00:00+00:00,2026-07-07T12:00:00+00:00,True,893,0.2916394513389941,0.4154535274356103,-0.3915237872340426,-0.494559,0.7373528096545245,-349.630742,-494.0034639999999,2.6456858975741238,-2.5501536590038314,False
ARCH_V2_LEAN,1,2017-11-10T12:00:00+00:00,2022-10-11T16:00:00+00:00,2022-10-15T20:00:00+00:00,2024-01-28T20:00:00+00:00,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ARCH_V2_LEAN,2,2017-11-10T12:00:00+00:00,2024-01-27T16:00:00+00:00,2024-01-30T08:00:00+00:00,2025-04-10T12:00:00+00:00,True,687,0.23673328738800828,0.43377001455604075,-0.2158363362445415,-0.462007,0.8422928277795718,-148.279563,-286.37286900000004,2.6575209161073827,-2.4170200411311056,False
ARCH_V2_LEAN,3,2017-11-10T12:00:00+00:00,2025-04-08T20:00:00+00:00,2025-04-11T20:00:00+00:00,2026-07-07T12:00:00+00:00,True,122,0.039843239712606136,0.45081967213114754,-0.3054323606557377,-0.3862425,0.7895674335445668,-37.262748,-87.47786299999999,2.5420756181818174,-2.6429389104477616,False
ARCH_V2_LONG_ONLY,1,2017-11-10T12:00:00+00:00,2022-10-11T16:00:00+00:00,2022-10-15T20:00:00+00:00,2024-01-28T20:00:00+00:00,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ARCH_V2_LONG_ONLY,2,2017-11-10T12:00:00+00:00,2024-01-27T16:00:00+00:00,2024-01-30T08:00:00+00:00,2025-04-10T12:00:00+00:00,True,483,0.1664369400413508,0.4492753623188406,-0.06126414492753628,-0.361847,0.9519020632006355,-29.590582000000026,-169.58442399999998,2.698730976958525,-2.312839112781955,False
ARCH_V2_LONG_ONLY,3,2017-11-10T12:00:00+00:00,2025-04-08T20:00:00+00:00,2025-04-11T20:00:00+00:00,2026-07-07T12:00:00+00:00,True,524,0.17112998040496408,0.4484732824427481,-0.2566362137404579,-0.34037399999999995,0.8066002371060054,-134.47737599999994,-294.19819900000005,2.386622727659575,-2.4059990207612456,False
