interaction,feature_1,feature_1_threshold,feature_2,feature_2_threshold,train_samples,train_avg_net_pct,train_profit_factor,validation_samples,validation_avg_net_pct,validation_profit_factor,test_samples,test_win_rate_pct,test_avg_net_pct,test_profit_factor,robustness_floor_pct,verdict
regime_confidence>=100.0 & momentum_score>=26.0,regime_confidence,100.0,momentum_score,26.0,527,-0.344247,0.7897,170,0.561001,1.3797,189,44.44,0.03834,1.0315,-0.344247,RESEARCH_ONLY_UNSTABLE_INTERACTION
risk_penalty>=0.0 & regime_confidence>=100.0,risk_penalty,0.0,regime_confidence,100.0,518,-0.045214,0.951,144,0.354092,1.3342,216,43.52,-0.068836,0.9324,-0.068836,REJECT_TEST_NET_NON_POSITIVE
risk_penalty>=0.0 & momentum_score>=26.0,risk_penalty,0.0,momentum_score,26.0,973,-0.069669,0.9261,309,0.405495,1.4292,409,40.59,-0.245075,0.7378,-0.245075,REJECT_TEST_NET_NON_POSITIVE
momentum_score>=26.0 & decision_aligned_score>=67.0,momentum_score,26.0,decision_aligned_score,67.0,1183,-0.109175,0.9168,449,0.362009,1.3017,499,40.28,-0.30835,0.751,-0.30835,REJECT_TEST_NET_NON_POSITIVE
momentum_score>=26.0 & volume_score>=9.0,momentum_score,26.0,volume_score,9.0,1041,-0.190372,0.8635,390,0.387277,1.3384,423,38.77,-0.364035,0.7252,-0.364035,REJECT_TEST_NET_NON_POSITIVE
risk_penalty>=0.0 & decision_aligned_score>=67.0,risk_penalty,0.0,decision_aligned_score,67.0,641,-0.047894,0.9511,209,0.37987,1.4229,285,36.49,-0.383383,0.6471,-0.383383,REJECT_TEST_NET_NON_POSITIVE
regime_confidence>=100.0 & decision_aligned_score>=67.0,regime_confidence,100.0,decision_aligned_score,67.0,934,0.027021,1.0186,370,0.176151,1.1235,362,39.5,-0.464919,0.6631,-0.464919,OVERFIT_INTERACTION
momentum_score>=26.0 & structure_score>=8.0,momentum_score,26.0,structure_score,8.0,517,-0.175664,0.8784,229,0.024316,1.0176,219,33.33,-0.622822,0.5461,-0.622822,REJECT_TEST_NET_NON_POSITIVE
regime_confidence>=100.0 & structure_score>=8.0,regime_confidence,100.0,structure_score,8.0,1451,0.065022,1.0401,546,-0.088953,0.9375,489,39.88,-0.648859,0.5989,-0.648859,OVERFIT_INTERACTION
risk_penalty>=0.0 & volume_score>=9.0,risk_penalty,0.0,volume_score,9.0,486,-0.165926,0.8377,162,-0.07253,0.9302,183,32.24,-0.65372,0.4485,-0.65372,REJECT_TEST_NET_NON_POSITIVE
volume_score>=9.0 & decision_aligned_score>=67.0,volume_score,9.0,decision_aligned_score,67.0,1469,0.038339,1.0279,549,0.214192,1.1623,587,35.26,-0.664763,0.5475,-0.664763,OVERFIT_INTERACTION
decision_aligned_score>=67.0 & structure_score>=8.0,decision_aligned_score,67.0,structure_score,8.0,995,0.061188,1.0432,410,0.164782,1.1198,376,33.51,-0.745406,0.4916,-0.745406,OVERFIT_INTERACTION
risk_penalty>=0.0 & structure_score>=8.0,risk_penalty,0.0,structure_score,8.0,163,-0.12623,0.8765,61,0.330448,1.4995,86,32.56,-0.76073,0.3768,-0.76073,REJECT_TEST_NET_NON_POSITIVE
regime_confidence>=100.0 & volume_score>=9.0,regime_confidence,100.0,volume_score,9.0,949,-0.006976,0.9959,319,0.061351,1.0423,342,40.64,-0.801143,0.5676,-0.801143,REJECT_TEST_NET_NON_POSITIVE
volume_score>=9.0 & structure_score>=8.0,volume_score,9.0,structure_score,8.0,787,0.108996,1.0665,298,0.124668,1.0884,282,33.69,-1.077465,0.4527,-1.077465,OVERFIT_INTERACTION
