split,score_band,samples,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,median_net_return_pct,profit_factor,max_drawdown_proxy_pct
ALL,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,50_59,7154,41.96,0.109607,-0.190393,-0.439161,0.8558,-1382.084209
ALL,60_69,4653,43.0,0.132744,-0.167256,-0.430598,0.8758,-785.910703
ALL,70_79,2257,43.46,0.286895,-0.013105,-0.38881,0.9899,-208.641996
ALL,80_89,651,41.78,0.13281,-0.16719,-0.541577,0.8671,-155.761484
ALL,90_PLUS,31,38.71,0.99598,0.69598,-0.781358,1.7645,-7.952564
TRAIN_60,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_60,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_60,50_59,4228,41.06,0.144438,-0.155562,-0.456901,0.8839,-672.709996
TRAIN_60,60_69,2728,42.63,0.198412,-0.101588,-0.434345,0.9246,-387.202034
TRAIN_60,70_79,1263,42.91,0.360873,0.060873,-0.398216,1.0475,-178.362379
TRAIN_60,80_89,345,44.06,0.188793,-0.111207,-0.409899,0.9125,-77.73906
TRAIN_60,90_PLUS,16,31.25,0.364251,0.064251,-1.115475,1.0579,-8.085669
VALIDATION_20,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
VALIDATION_20,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
VALIDATION_20,50_59,1410,43.05,0.113711,-0.186289,-0.412894,0.8636,-328.922148
VALIDATION_20,60_69,921,46.15,0.245525,-0.054475,-0.227362,0.9594,-161.653922
VALIDATION_20,70_79,487,50.31,0.580714,0.280714,0.009447,1.2142,-80.180355
VALIDATION_20,80_89,139,51.08,0.765571,0.465571,0.067323,1.4655,-19.700207
VALIDATION_20,90_PLUS,8,50.0,2.059762,1.759762,0.852667,3.8385,-3.125996
TEST_20,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
TEST_20,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
TEST_20,50_59,1516,43.47,0.00865,-0.29135,-0.407557,0.7623,-465.244671
TEST_20,60_69,1004,41.14,-0.149144,-0.449144,-0.546388,0.6677,-461.266257
TEST_20,70_79,507,38.26,-0.179623,-0.479623,-0.621667,0.6377,-253.820316
TEST_20,80_89,167,29.34,-0.509512,-0.809512,-1.12438,0.4403,-134.560639
TEST_20,90_PLUS,7,42.86,1.224178,0.924178,-0.064353,2.1719,-3.624219
