dimension,value,all_samples,all_win_rate_pct,all_avg_net_pct,all_profit_factor,validation_20_samples,validation_20_win_rate_pct,validation_20_avg_net_pct,validation_20_profit_factor,test_20_samples,test_20_win_rate_pct,test_20_avg_net_pct,test_20_profit_factor,verdict
REGIME,SIDEWAYS,617,43.6,-0.121346,0.8849,120,57.5,0.344337,1.4071,134,41.04,-0.232133,0.7961,NEGATIVE_TEST_SEGMENT
REGIME,TRENDING_BEAR,6343,40.69,-0.292983,0.7954,1250,42.96,-0.125234,0.9118,1624,41.44,-0.263624,0.7901,NEGATIVE_TEST_SEGMENT
SIDE,SHORT,7005,40.57,-0.304898,0.7852,1375,43.42,-0.110005,0.9206,1759,41.33,-0.285518,0.7733,NEGATIVE_TEST_SEGMENT
SYMBOL,XRP/USDT,2317,43.38,-0.03936,0.9709,492,43.09,-0.123561,0.9166,521,43.57,-0.322781,0.7559,NEGATIVE_TEST_SEGMENT
SYMBOL,BNB/USDT,2600,40.65,-0.245881,0.7773,528,46.4,0.088371,1.092,539,37.66,-0.345259,0.6566,NEGATIVE_TEST_SEGMENT
SYMBOL,ETH/USDT,2406,42.27,-0.165832,0.8717,472,45.76,0.119965,1.0839,470,40.85,-0.396872,0.6989,NEGATIVE_TEST_SEGMENT
SYMBOL,BTC/USDT,3082,40.98,-0.256462,0.7507,586,45.56,-0.049494,0.9386,638,40.13,-0.403653,0.6336,NEGATIVE_TEST_SEGMENT
SYMBOL,SOL/USDT,2207,46.81,-0.082136,0.9494,472,49.58,-0.034932,0.9781,504,43.85,-0.436957,0.7116,NEGATIVE_TEST_SEGMENT
SYMBOL,DOGE/USDT,2134,41.85,-0.073096,0.9569,415,42.89,-0.227325,0.8831,529,41.4,-0.464961,0.6988,NEGATIVE_TEST_SEGMENT
SIDE,LONG,7741,44.26,-0.015676,0.9873,1590,47.48,0.03391,1.0264,1442,40.98,-0.528633,0.6026,NEGATIVE_TEST_SEGMENT
REGIME,TRENDING_BULL,7105,44.6,0.005939,1.0048,1463,47.71,0.060077,1.047,1306,41.96,-0.530468,0.6012,NEGATIVE_TEST_SEGMENT
REGIME,VOLATILE,117,41.88,-0.131449,0.9288,14,42.86,-0.466402,0.7711,13,38.46,-0.706775,0.7012,LOW_TEST_SAMPLE
REGIME,UNKNOWN,377,36.07,-0.673728,0.5444,90,36.67,-0.572927,0.6109,104,29.81,-0.805181,0.3967,NEGATIVE_TEST_SEGMENT
REGIME,QUIET,187,34.22,-0.517236,0.6154,28,32.14,-0.425577,0.6846,20,30.0,-0.97825,0.422,LOW_TEST_SAMPLE
