split,score_band,samples,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,median_net_return_pct,profit_factor,max_drawdown_proxy_pct
ALL,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,50_59,6947,38.03,0.110107,-0.484354,-0.699022,0.6795,-3409.214427
ALL,60_69,4471,39.01,0.137693,-0.447452,-0.704455,0.7066,-2018.683925
ALL,70_79,2123,39.94,0.296294,-0.286289,-0.649246,0.8065,-646.41826
ALL,80_89,603,38.64,0.155105,-0.412091,-0.773459,0.7109,-279.942852
ALL,90_PLUS,30,36.67,0.813267,0.273462,-1.004897,1.2499,-13.750795
TRAIN_60,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_60,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_60,50_59,4103,37.12,0.14929,-0.451208,-0.717918,0.7061,-1912.524908
TRAIN_60,60_69,2614,38.64,0.198364,-0.3921,-0.711498,0.7445,-1165.131512
TRAIN_60,70_79,1183,39.81,0.36692,-0.218661,-0.663585,0.851,-342.517542
TRAIN_60,80_89,320,39.69,0.205338,-0.367249,-0.654296,0.7443,-143.193286
TRAIN_60,90_PLUS,16,31.25,0.342496,-0.193932,-1.336557,0.8471,-15.887548
VALIDATION_20,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
VALIDATION_20,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
VALIDATION_20,50_59,1376,38.66,0.106119,-0.491529,-0.706735,0.6853,-713.985361
VALIDATION_20,60_69,889,41.06,0.259783,-0.325938,-0.523871,0.7843,-327.405754
VALIDATION_20,70_79,464,45.26,0.583047,-0.004665,-0.252534,0.9969,-101.948238
VALIDATION_20,80_89,128,49.22,0.843443,0.278237,-0.074683,1.248,-33.292097
VALIDATION_20,90_PLUS,7,42.86,1.483364,0.924582,-0.500782,2.053,-3.46902
TEST_20,0_39,0,0.0,0.0,0.0,0.0,0.0,0.0
TEST_20,40_49,0,0.0,0.0,0.0,0.0,0.0,0.0
TEST_20,50_59,1468,39.99,0.004333,-0.570272,-0.659712,0.5912,-870.983533
TEST_20,60_69,968,38.12,-0.13827,-0.708521,-0.771309,0.5316,-716.140948
TEST_20,70_79,476,35.08,-0.158757,-0.72889,-0.816812,0.511,-354.095728
TEST_20,80_89,155,27.74,-0.517038,-1.074748,-1.378924,0.3501,-163.233938
TEST_20,90_PLUS,7,42.86,1.219216,0.69067,-0.285077,1.7568,-3.858775
