dimension,value,all_samples,all_win_rate_pct,all_avg_net_pct,all_profit_factor,validation_20_samples,validation_20_win_rate_pct,validation_20_avg_net_pct,validation_20_profit_factor,test_20_samples,test_20_win_rate_pct,test_20_avg_net_pct,test_20_profit_factor,verdict
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|VOLATILE,16,37.5,0.000746,1.0005,3,33.33,-0.206409,0.7136,3,66.67,1.1556,2.2469,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|VOLATILE,12,25.0,-1.233577,0.2809,0,0.0,0.0,0.0,2,50.0,0.89713,1.8191,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|QUIET,27,33.33,-0.358636,0.7515,2,50.0,2.301536,3.465,2,50.0,0.859883,1.782,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BNB/USDT|4h|UNKNOWN,61,27.87,-0.71663,0.432,11,9.09,-1.371764,0.095,17,35.29,0.540028,1.917,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|SIDEWAYS,56,46.43,-0.024271,0.9799,3,100.0,4.752101,999.0,18,55.56,0.376073,1.4086,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|VOLATILE,9,33.33,-1.001922,0.5663,2,50.0,-0.303608,0.8599,0,0.0,0.0,0.0,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|SIDEWAYS,108,39.81,-0.38695,0.703,19,73.68,0.836073,1.9681,21,42.86,-0.118626,0.9185,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BNB/USDT|4h|TRENDING_BEAR,999,33.33,-0.643743,0.558,171,28.07,-0.720759,0.5384,236,35.59,-0.320243,0.7077,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|SIDEWAYS,134,38.06,-0.329817,0.6813,33,42.42,-0.459821,0.5344,18,38.89,-0.394786,0.5925,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,BNB/USDT|4h|QUIET,36,27.78,-0.761062,0.2428,7,28.57,-0.694469,0.1342,6,50.0,-0.457519,0.4427,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,XRP/USDT|4h|TRENDING_BEAR,1139,40.56,-0.432343,0.7066,242,38.84,-0.47336,0.7173,318,43.4,-0.457689,0.6554,NEGATIVE_TEST_SEGMENT
REGIME,TRENDING_BEAR,6104,37.12,-0.590168,0.6376,1209,37.72,-0.440881,0.7287,1560,38.65,-0.526181,0.6296,NEGATIVE_TEST_SEGMENT
REGIME,SIDEWAYS,578,39.1,-0.390191,0.6798,109,53.21,0.152625,1.1581,127,37.01,-0.531372,0.5984,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|TRENDING_BEAR,1027,34.86,-0.668966,0.5114,219,38.81,-0.219805,0.772,239,38.91,-0.534909,0.5938,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,DOGE/USDT|4h|TRENDING_BEAR,1001,37.56,-0.517455,0.7282,190,36.32,-0.593049,0.7206,301,40.2,-0.548461,0.6407,NEGATIVE_TEST_SEGMENT
SIDE,SHORT,6721,36.91,-0.60081,0.6281,1325,38.34,-0.42343,0.7336,1683,38.21,-0.553492,0.6121,NEGATIVE_TEST_SEGMENT
SYMBOL,BNB/USDT,2596,36.67,-0.500449,0.6034,530,40.0,-0.171171,0.8458,535,34.58,-0.578142,0.4995,NEGATIVE_TEST_SEGMENT
SYMBOL,XRP/USDT,2313,39.6,-0.335437,0.7805,493,40.37,-0.412702,0.7503,519,41.04,-0.590969,0.6004,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|TRENDING_BEAR,992,35.79,-0.595481,0.6303,199,40.2,-0.47318,0.721,233,35.62,-0.592709,0.5889,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|TRENDING_BULL,1097,45.67,-0.156062,0.9047,246,47.15,-0.432887,0.7511,224,45.09,-0.609089,0.5914,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,ETH/USDT|4h|TRENDING_BULL,1211,41.62,-0.255459,0.807,238,43.7,0.183657,1.1227,193,44.04,-0.640777,0.5657,NEGATIVE_TEST_SEGMENT
SYMBOL,BTC/USDT,2526,36.9,-0.500874,0.5752,479,39.46,-0.284706,0.6951,522,37.55,-0.641512,0.4839,NEGATIVE_TEST_SEGMENT
TIMEFRAME,4h,14174,38.65,-0.438369,0.709,2864,40.96,-0.323387,0.7864,3074,38.03,-0.660934,0.5469,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,BTC/USDT|4h|TRENDING_BULL,1252,38.74,-0.337951,0.6647,210,38.57,-0.355493,0.616,241,38.17,-0.661444,0.4077,NEGATIVE_TEST_SEGMENT
SYMBOL,ETH/USDT,2405,38.17,-0.446435,0.6947,474,41.35,-0.182009,0.886,470,38.09,-0.672373,0.5469,NEGATIVE_TEST_SEGMENT
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|SIDEWAYS,52,48.08,-0.206509,0.8537,17,76.47,0.766378,2.1517,23,39.13,-0.723437,0.47,LOW_TEST_SAMPLE
SYMBOL_TIMEFRAME_REGIME,SOL/USDT|4h|TRENDING_BEAR,946,40.38,-0.709441,0.6461,188,42.55,-0.214061,0.8818,233,36.05,-0.723986,0.6028,NEGATIVE_TEST_SEGMENT
SYMBOL,SOL/USDT,2203,43.21,-0.419851,0.7682,472,45.34,-0.362967,0.7953,501,39.72,-0.724958,0.5698,NEGATIVE_TEST_SEGMENT
SYMBOL,DOGE/USDT,2131,37.92,-0.410416,0.7842,416,39.18,-0.572189,0.7333,527,37.38,-0.762054,0.5578,NEGATIVE_TEST_SEGMENT
REGIME,TRENDING_BULL,6840,40.61,-0.268698,0.8083,1419,43.69,-0.210075,0.8542,1258,38.63,-0.789733,0.4711,NEGATIVE_TEST_SEGMENT
SIDE,LONG,7453,40.21,-0.291882,0.7927,1539,43.21,-0.237255,0.8363,1391,37.81,-0.790929,0.4718,NEGATIVE_TEST_SEGMENT
