source,run_id,decision_id,replay_experiment_id,replay_data_fingerprint,candle_timestamp,symbol,timeframe,provider,replay_split,replay_position,replay_total_positions,replay_safe,learning_overrides_enabled,historical_edge_enabled,historical_context_mode,side,score,confidence_label,risk_label,actionability,is_actionable,entry_price,entry_zone,stop_zone,targets,fee_bps_per_side,slippage_bps_per_side,regime_label,regime_confidence,long_score,short_score,trend_score,momentum_score,volume_score,structure_score,regime_score,risk_penalty,external_context_score,adaptive_adjustment,historical_edge_score,news_sentiment_score,onchain_signal_score,cross_exchange_volume_ratio,available_future_candles,evaluation_status,target_1_hit,target_2_hit,target_3_hit,stop_hit,first_exit_reason,first_exit_candle_offset,intrabar_ambiguity,mfe_pct,mae_pct,evaluated_candles,market_return_after_1c_pct,gross_signed_return_after_1c_pct,net_signed_return_after_1c_pct,direction_correct_after_1c,market_return_after_3c_pct,gross_signed_return_after_3c_pct,net_signed_return_after_3c_pct,direction_correct_after_3c,market_return_after_6c_pct,gross_signed_return_after_6c_pct,net_signed_return_after_6c_pct,direction_correct_after_6c,market_return_after_4h_pct,return_after_4h_pct,net_return_after_4h_pct,market_return_after_12h_pct,return_after_12h_pct,net_return_after_12h_pct,market_return_after_24h_pct,return_after_24h_pct,net_return_after_24h_pct
MARKET_REPLAY,market_replay_20260710_152233,357f6a0d6b729b004be3,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-07-30T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,0,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,53,Low,Low,NOT_ACTIONABLE,False,29347.6,"29,314 - 29,368","29,188","[""29,481"", ""29,588"", ""29,694""]",10.0,5.0,QUIET,75,53,0,28,25,5,3,-2,-4,0,-2,0,0.0,0.0,0.0,6456,COMPLETE,True,False,False,True,STOP,1.0,False,0.624923,-1.093445,6,-0.507708,-0.507708,-0.807708,False,0.249424,0.249424,-0.050576,True,-0.341084,-0.341084,-0.641084,False,-0.507708,-0.507708,-0.807708,0.249424,0.249424,-0.050576,-0.341084,-0.341084,-0.641084
MARKET_REPLAY,market_replay_20260710_152233,932ad9a7d2429298529e,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-07-31T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,1,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,45,Low,Low,MONITOR_ONLY,False,29247.5,نامشخص,نامشخص,[],10.0,5.0,SIDEWAYS,62,3,45,17,24,11,3,-5,0,0,-5,0,0.0,0.0,0.0,6450,COMPLETE,False,False,False,False,NO_EXIT,,False,0.343619,-2.26857,6,-0.30088,,,,-1.410377,,,,-1.008291,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,c102eec9369874328f53,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-01T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,2,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,58,Medium,Medium,WATCHLIST,False,28952.6,"28,922 - 29,003","29,193","[""28,752"", ""28,591"", ""28,431""]",10.0,5.0,TRENDING_BEAR,75,1,58,28,17,11,6,5,-9,0,0,0,0.0,0.0,0.0,6444,COMPLETE,False,False,False,True,STOP,1.0,False,0.312234,-3.764774,6,1.109745,-1.109745,-1.409745,False,2.349703,-2.349703,-2.649703,False,1.289003,-1.289003,-1.589003,False,1.109745,-1.109745,-1.409745,2.349703,-2.349703,-2.649703,1.289003,-1.289003,-1.589003
MARKET_REPLAY,market_replay_20260710_152233,1d484e6bfea501bc4c5e,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-02T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,3,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,22,Low,Low,MONITOR_ONLY,False,29325.8,نامشخص,نامشخص,[],10.0,5.0,SIDEWAYS,62,20,22,6,16,7,3,-5,0,0,-5,0,0.0,0.0,0.0,6438,COMPLETE,False,False,False,False,NO_EXIT,,False,0.342361,-1.356485,6,-0.590265,,,,-0.507403,,,,-0.231878,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,9566a28b533ee9d5a917,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-03T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,4,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,39,Low,Low,MONITOR_ONLY,False,29257.8,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BULL,37,39,11,6,15,9,6,5,-2,0,0,0,0.0,0.0,0.0,6432,COMPLETE,False,False,False,False,NO_EXIT,,False,0.372892,-0.539002,6,0.072459,,,,-0.333928,,,,0.048876,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,ac52b5ac4d4218e2c84e,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-04T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,5,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,34,Low,Low,MONITOR_ONLY,False,29272.1,نامشخص,نامشخص,[],10.0,5.0,SIDEWAYS,62,34,0,17,22,2,3,-5,0,0,-5,0,0.0,0.0,0.0,6426,COMPLETE,False,False,False,False,NO_EXIT,,False,0.042361,-1.61109,6,-0.822626,,,,-0.610137,,,,-0.798713,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,c0a7733f83354f2a03b7,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-05T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,6,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,60,Medium,Low,WATCHLIST,False,29038.3,"29,009 - 29,087","29,272","[""28,843"", ""28,687"", ""28,531""]",10.0,5.0,TRENDING_BEAR,75,0,60,28,22,4,6,5,-4,0,-1,0,0.0,0.0,0.0,6420,COMPLETE,False,False,False,False,NO_EXIT,,False,0.158067,-0.342651,6,0.103312,-0.103312,-0.403312,False,0.078173,-0.078173,-0.378173,False,-0.094358,0.094358,-0.205642,True,0.103312,-0.103312,-0.403312,0.078173,-0.078173,-0.378173,-0.094358,0.094358,-0.205642
MARKET_REPLAY,market_replay_20260710_152233,37c6ea31078436627d40,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-06T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,7,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,61,Medium,Low,WATCHLIST,False,29010.9,"28,988 - 29,048","29,190","[""28,861"", ""28,742"", ""28,622""]",10.0,5.0,QUIET,75,0,61,28,30,2,5,-2,0,0,-2,0,0.0,0.0,0.0,6414,COMPLETE,True,False,False,True,STOP,2.0,False,0.720419,-0.746616,6,0.260247,-0.260247,-0.560247,False,0.523252,-0.523252,-0.823252,False,-0.511532,0.511532,0.211532,True,0.260247,-0.260247,-0.560247,0.523252,-0.523252,-0.823252,-0.511532,0.511532,0.211532
MARKET_REPLAY,market_replay_20260710_152233,3acb4e65f4a0fc262e8c,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-07T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,8,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,76,Medium-High,Low,WATCHLIST,False,28862.5,"28,838 - 28,903","29,057","[""28,701"", ""28,571"", ""28,442""]",10.0,5.0,QUIET,75,11,76,28,30,15,4,-2,0,0,1,0,0.0,0.0,0.0,6408,COMPLETE,False,False,False,True,STOP,1.0,False,0.557817,-2.816804,6,1.01204,-1.01204,-1.31204,False,1.15929,-1.15929,-1.45929,False,2.328627,-2.328627,-2.628627,False,1.01204,-1.01204,-1.31204,1.15929,-1.15929,-1.45929,2.328627,-2.328627,-2.628627
MARKET_REPLAY,market_replay_20260710_152233,4eabd50d6385822992ef,805f5f662b22b5bb,b8b8ecd15a6371a2,2023-08-08T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,9,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,56,Medium,Low,WATCHLIST,False,29534.6,"29,487 - 29,563","29,304","[""29,727"", ""29,880"", ""30,034""]",10.0,5.0,SIDEWAYS,50,56,0,28,24,9,7,-5,-2,0,-5,0,0.0,0.0,0.0,6402,COMPLETE,True,True,True,False,TARGET_1,1.0,False,2.350125,-0.007449,6,1.177602,1.177602,0.877602,True,0.613179,0.613179,0.313179,True,0.762834,0.762834,0.462834,True,1.177602,1.177602,0.877602,0.613179,0.613179,0.313179,0.762834,0.762834,0.462834
