threshold,split,samples,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,median_net_return_pct,profit_factor,max_drawdown_proxy_pct,verdict
40,ALL,14746,42.51,0.146931,-0.153069,-0.432998,0.8842,-2273.940534,REJECT_TEST_NET_NON_POSITIVE
40,TRAIN_60,8580,41.93,0.195652,-0.104348,-0.44137,0.9216,-919.266962,REJECT_TEST_NET_NON_POSITIVE
40,VALIDATION_20,2965,45.6,0.26717,-0.03283,-0.294559,0.9753,-278.628544,REJECT_TEST_NET_NON_POSITIVE
40,TEST_20,3201,41.17,-0.095037,-0.395037,-0.529002,0.6941,-1274.217577,REJECT_TEST_NET_NON_POSITIVE
50,ALL,14746,42.51,0.146931,-0.153069,-0.432998,0.8842,-2273.940534,REJECT_TEST_NET_NON_POSITIVE
50,TRAIN_60,8580,41.93,0.195652,-0.104348,-0.44137,0.9216,-919.266962,REJECT_TEST_NET_NON_POSITIVE
50,VALIDATION_20,2965,45.6,0.26717,-0.03283,-0.294559,0.9753,-278.628544,REJECT_TEST_NET_NON_POSITIVE
50,TEST_20,3201,41.17,-0.095037,-0.395037,-0.529002,0.6941,-1274.217577,REJECT_TEST_NET_NON_POSITIVE
60,ALL,7592,43.02,0.182101,-0.117899,-0.428129,0.9109,-902.79503,REJECT_TEST_NET_NON_POSITIVE
60,TRAIN_60,4352,42.78,0.245407,-0.054593,-0.42498,0.9587,-446.176897,REJECT_TEST_NET_NON_POSITIVE
60,VALIDATION_20,1555,47.91,0.40632,0.10632,-0.166777,1.0819,-184.751453,REJECT_TEST_NET_NON_POSITIVE
60,TEST_20,1685,39.11,-0.188325,-0.488325,-0.627362,0.6384,-821.839083,REJECT_TEST_NET_NON_POSITIVE
70,ALL,2939,43.04,0.260244,-0.039756,-0.421955,0.969,-300.984572,OVERFIT_TRAIN_POSITIVE_TEST_NEGATIVE
70,TRAIN_60,1624,43.04,0.32435,0.02435,-0.416586,1.0191,-221.595803,OVERFIT_TRAIN_POSITIVE_TEST_NEGATIVE
70,VALIDATION_20,634,50.47,0.639906,0.339906,0.0117,1.2755,-90.388102,OVERFIT_TRAIN_POSITIVE_TEST_NEGATIVE
70,TEST_20,681,36.12,-0.246091,-0.546091,-0.73819,0.595,-381.693222,OVERFIT_TRAIN_POSITIVE_TEST_NEGATIVE
80,ALL,682,41.64,0.172045,-0.127955,-0.548344,0.897,-152.193853,REJECT_TEST_NET_NON_POSITIVE
80,TRAIN_60,361,43.49,0.196569,-0.103431,-0.420209,0.9182,-81.568036,REJECT_TEST_NET_NON_POSITIVE
80,VALIDATION_20,147,51.02,0.836003,0.536003,0.067323,1.5473,-18.69861,REJECT_TEST_NET_NON_POSITIVE
80,TEST_20,174,29.89,-0.439765,-0.739765,-1.047131,0.479,-128.091391,REJECT_TEST_NET_NON_POSITIVE
90,ALL,31,38.71,0.99598,0.69598,-0.781358,1.7645,-7.952564,LOW_TEST_SAMPLE
90,TRAIN_60,16,31.25,0.364251,0.064251,-1.115475,1.0579,-8.085669,LOW_TEST_SAMPLE
90,VALIDATION_20,8,50.0,2.059762,1.759762,0.852667,3.8385,-3.125996,LOW_TEST_SAMPLE
90,TEST_20,7,42.86,1.224178,0.924178,-0.064353,2.1719,-3.624219,LOW_TEST_SAMPLE
