window,feature,reference_rows,recent_rows,psi,reference_mean,recent_mean,mean_delta,win_rate_delta
3Y,OUTCOME,4630,2508,,-0.4567237747300216,-0.4623263333333334,-0.005602558603311769,0.02572157863734542
3Y,score,4630,2508,0.007341539727780195,61.39481641468682,61.999601275917065,0.6047848612302431,
3Y,trend_score,4630,2508,0.002323056640073594,27.00107991360691,26.933811802232857,-0.0672681113740552,
3Y,momentum_score,4630,2508,0.02036471819083323,23.119438444924405,23.12360446570973,0.004166020785323354,
3Y,volume_score,4630,2508,0.000722210800811525,5.023974082073434,5.0701754385964914,0.046201356523057235,
3Y,structure_score,4630,2508,0.025044780215694423,6.366954643628509,6.606060606060606,0.23910596243209703,
3Y,SIDE_DISTRIBUTION,4630,2508,,,,0.11799304859438992,
3Y,REGIME_DISTRIBUTION,4630,2508,,,,0.0,
3Y,SYMBOL_DISTRIBUTION,4630,2508,,,,0.051581634234811435,
5Y,OUTCOME,8709,2508,,-0.5377805795154438,-0.4623263333333333,0.0754542461821105,0.034765498596018796
5Y,score,8709,2508,0.016484750075852976,61.005511539786426,61.999601275917065,0.9940897361306398,
5Y,trend_score,8709,2508,0.001965862834565162,27.046388793202436,26.933811802232857,-0.11257699096957907,
5Y,momentum_score,8709,2508,0.013964611996594666,23.169594672178206,23.12360446570973,-0.045990206468477624,
5Y,volume_score,8709,2508,0.000729989747463985,5.051785509243311,5.0701754385964914,0.01838992935318018,
5Y,structure_score,8709,2508,0.028231558988225276,6.355494316224595,6.606060606060606,0.25056628983601126,
5Y,SIDE_DISTRIBUTION,8709,2508,,,,0.06407796807020838,
5Y,REGIME_DISTRIBUTION,8709,2508,,,,0.0,
5Y,SYMBOL_DISTRIBUTION,8709,2508,,,,0.08440699029382237,
