scope,era,component,component_label,expected_direction,sample_count,unique_values,feature_mean,feature_std,spearman_to_return,aligned_spearman,bottom_samples,top_samples,bottom_expectancy,top_expectancy,top_minus_bottom,aligned_top_minus_bottom,missing_share
ALL,LEGACY,trend_score,Trend,1.0,4843,5,27.132975428453438,3.0510273814912123,0.0016634675151907968,0.0016634675151907968,1211,1211,-0.78430626507019,-0.4695388695293146,0.31476739554087535,0.31476739554087535,0.0
ALL,LEGACY,momentum_score,Momentum,1.0,4843,18,23.29072888705348,4.09777903834311,-0.02401696425992013,-0.02401696425992013,1211,1211,-0.20628978117258465,-0.5141713336085879,-0.30788155243600324,-0.30788155243600324,0.0
ALL,LEGACY,volume_score,Volume,1.0,4843,16,4.991327689448688,4.816252763294461,0.013162368242197872,0.013162368242197872,1211,1211,-0.5476768645747317,-0.32004215276630876,0.22763471180842298,0.22763471180842298,0.0
ALL,LEGACY,structure_score,Structure,1.0,4843,9,6.6491843898410075,2.496868337044132,-0.01936112124471083,-0.01936112124471083,1211,1211,-0.3993197374071015,-0.572236328654005,-0.17291659124690345,-0.17291659124690345,0.0
ALL,LEGACY,regime_score,Regime,1.0,4843,6,4.3047697708032215,2.3736352053385974,-0.04725473785371922,-0.04725473785371922,1211,1211,-0.6094391932287366,-0.5017548216350124,0.10768437159372424,0.10768437159372424,0.0
ALL,LEGACY,risk_penalty,Risk Penalty,-1.0,4843,20,-6.106958496799504,5.035750683569388,0.06420408309906112,-0.06420408309906112,1211,1211,-1.1839419843104872,-0.33199604128819155,0.8519459430222958,-0.8519459430222958,0.0
ALL,LEGACY,adaptive_adjustment,Adaptive Adjustment,1.0,4843,13,0.5866198637208342,2.8783732589133257,-0.03219269636343201,-0.03219269636343201,1211,1211,-0.21499828158546655,-0.734066622625929,-0.5190683410404625,-0.5190683410404625,0.0
ALL,TRANSITION,trend_score,Trend,1.0,4056,4,27.108974358974358,3.059076179877387,0.0025879977740074158,0.0025879977740074158,1014,1014,-0.7653264635108481,-0.30261439743589746,0.46271206607495063,0.46271206607495063,0.0
ALL,TRANSITION,momentum_score,Momentum,1.0,4056,19,23.205374753451675,4.0569151896009705,0.00996237636143004,0.00996237636143004,1014,1014,-0.6940212051282051,-0.6242109980276134,0.06981020710059171,0.06981020710059171,0.0
ALL,TRANSITION,volume_score,Volume,1.0,4056,12,5.106755424063117,4.757138695206307,0.007362490744291489,0.007362490744291489,1014,1014,-0.726147040433925,-0.5247373885601578,0.20140965187376714,0.20140965187376714,0.0
ALL,TRANSITION,structure_score,Structure,1.0,4056,8,6.38732741617357,2.6115407570130444,0.009401414261166172,0.009401414261166172,1014,1014,-0.7285430443786982,-0.5020332514792899,0.2265097928994083,0.2265097928994083,0.0
ALL,TRANSITION,regime_score,Regime,1.0,4056,6,4.249260355029586,2.4402625083646328,0.003318581900004772,0.003318581900004772,1014,1014,-0.6913273037475346,-0.3117883017751479,0.3795390019723867,0.3795390019723867,0.0
ALL,TRANSITION,risk_penalty,Risk Penalty,-1.0,4056,20,-5.928994082840236,4.773146404788239,-0.004023004481301614,0.004023004481301614,1014,1014,-0.39871009960552267,-0.6117983155818542,-0.21308821597633149,0.21308821597633149,0.0
ALL,TRANSITION,adaptive_adjustment,Adaptive Adjustment,1.0,4056,13,0.493836291913215,2.8521180538887245,0.013755962399105403,0.013755962399105403,1014,1014,-0.8563980542406312,-0.5732156025641025,0.28318245167652867,0.28318245167652867,0.0
ALL,RECENT,trend_score,Trend,1.0,7251,5,26.975175837815474,3.293435161580838,0.011543372271753657,0.011543372271753657,1813,1813,-0.4012011709873139,-0.4997274726971869,-0.09852630170987303,-0.09852630170987303,0.0
ALL,RECENT,momentum_score,Momentum,1.0,7251,19,23.131705971590126,4.1639153094575265,-0.018552607037615316,-0.018552607037615316,1813,1813,-0.42323390016547163,-0.45371440595697743,-0.030480505791505796,-0.030480505791505796,0.0
ALL,RECENT,volume_score,Volume,1.0,7251,13,5.031857674803476,4.748213389544756,0.00972652721456407,0.00972652721456407,1813,1813,-0.4511615736348593,-0.49171986045228905,-0.040558286817429734,-0.040558286817429734,0.0
ALL,RECENT,structure_score,Structure,1.0,7251,9,6.431664597986485,2.5623890783868695,0.02910216978881236,0.02910216978881236,1813,1813,-0.5862567330391616,-0.3560290159955874,0.2302277170435742,0.2302277170435742,0.0
ALL,RECENT,regime_score,Regime,1.0,7251,6,4.262032823058888,2.444816064179272,0.022418151152254026,0.022418151152254026,1813,1813,-0.4385961417539989,-0.4871147578599007,-0.0485186161059018,-0.0485186161059018,0.0
ALL,RECENT,risk_penalty,Risk Penalty,-1.0,7251,22,-4.732726520479933,4.300016581428969,0.005771823176538662,-0.005771823176538662,1813,1813,-0.44276611472697186,-0.3970919520132377,0.045674162713734145,-0.045674162713734145,0.0
ALL,RECENT,adaptive_adjustment,Adaptive Adjustment,1.0,7251,13,0.4649013929113226,2.781368588781039,0.007181998486152179,0.007181998486152179,1813,1813,-0.3895960490899062,-0.40286313182570327,-0.013267082735797076,-0.013267082735797076,0.0
LONG,LEGACY,trend_score,Trend,1.0,2833,5,27.24991175432404,2.819368645915926,0.013181504779293174,0.013181504779293174,709,708,-0.48879663610719326,0.10144717514124299,0.5902438112484363,0.5902438112484363,0.0
LONG,LEGACY,momentum_score,Momentum,1.0,2833,17,23.019414048711614,4.121518617860911,-0.04057309297750721,-0.04057309297750721,709,708,0.30525652468265163,-0.3457479788135593,-0.6510045034962109,-0.6510045034962109,0.0
