window,scope,segment,overlapping_window_warning,sample_count,win_count,loss_count,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown
3Y,ALL,ALL_DIRECTIONAL,True,7138,2801,4337,0.3924068366489213,-0.4586922836929112,-0.6526055,0.6880208549227335,-3274.1455210000004,-3374.8889689999965
3Y,ALL,SCORE_GE_70,True,1376,569,807,0.41351744186046513,-0.2604564593023255,-0.5663320000000001,0.8190443299324336,-358.3880879999999,-417.3134359999998
3Y,LONG,ALL_DIRECTIONAL,True,3845,1582,2263,0.411443433029909,-0.29144637191157347,-0.523945,0.7810602431912657,-1120.6113,-1502.6944060000003
3Y,LONG,SCORE_GE_70,True,747,333,414,0.4457831325301205,0.025378281124498015,-0.283725,1.020363250620137,18.957576000000017,-191.117507
3Y,SHORT,ALL_DIRECTIONAL,True,3293,1219,2074,0.3701791679319769,-0.6539733437594898,-0.78558,0.5994470321252272,-2153.534221,-2318.2303529999995
3Y,SHORT,SCORE_GE_70,True,629,236,393,0.3751987281399046,-0.5999136152623212,-0.817643,0.6404724227784344,-377.34566400000006,-434.98756099999986
5Y,ALL,ALL_DIRECTIONAL,True,11217,4286,6931,0.3820986003387715,-0.5209098253543728,-0.732211,0.6744259405926929,-5843.045511,-5922.8969729999935
5Y,ALL,SCORE_GE_70,True,2056,836,1220,0.4066147859922179,-0.32095311186770425,-0.6440195,0.7891801187780279,-659.879598,-702.6681130000003
5Y,LONG,ALL_DIRECTIONAL,True,5892,2309,3583,0.39188730482009504,-0.43631805515953836,-0.666613,0.7092559965990729,-2570.785981,-2678.934822999994
5Y,LONG,SCORE_GE_70,True,1098,474,624,0.43169398907103823,-0.11337627504553734,-0.3927915,0.9184648739778448,-124.48715,-224.313001
5Y,SHORT,ALL_DIRECTIONAL,True,5325,1977,3348,0.37126760563380284,-0.6145088319248827,-0.788547,0.6406008787506925,-3272.2595300000003,-3366.0925599999987
5Y,SHORT,SCORE_GE_70,True,958,362,596,0.3778705636743215,-0.5588647682672234,-0.8232794999999999,0.6660625725746033,-535.3924480000001,-571.1815080000008
FULL,ALL,ALL_DIRECTIONAL,True,16150,6221,9929,0.3852012383900929,-0.5015416283591331,-0.7404715,0.7033019459936399,-8099.897298,-8272.02647200001
FULL,ALL,SCORE_GE_70,True,2900,1197,1703,0.4127586206896552,-0.23278393172413792,-0.6503865,0.851253826040979,-675.073402,-872.9469690000003
FULL,LONG,ALL_DIRECTIONAL,True,8767,3538,5229,0.40355880004562567,-0.33273588148739586,-0.641125,0.7851592403989465,-2917.0954729999994,-3069.545784999999
FULL,LONG,SCORE_GE_70,True,1573,706,867,0.4488239033693579,0.03946500762873491,-0.317235,1.02836150844505,62.078457000000014,-253.109152
FULL,SHORT,ALL_DIRECTIONAL,True,7383,2683,4700,0.36340241094406067,-0.7019913077339835,-0.844735,0.6223051570257011,-5182.8018250000005,-5296.634866999995
FULL,SHORT,SCORE_GE_70,True,1327,491,836,0.3700075357950264,-0.5555025312735494,-0.895619,0.6862646302230008,-737.1518590000001,-839.866619999999
