symbol_scope,era,regime,side,sample_count,win_count,loss_count,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown,sample_share
ALL,LEGACY,UNKNOWN,LONG,2833,1200,1633,0.42357924461701374,-0.14368850158842217,-0.558803,0.9135239733551356,-407.069525,-694.7311499999998,0.584967995044394
ALL,LEGACY,UNKNOWN,SHORT,2010,686,1324,0.34129353233830845,-0.9202884094527364,-1.042017,0.5891496894278172,-1849.7797030000002,-1874.1972090000006,0.41503200495560605
ALL,RECENT,UNKNOWN,LONG,3889,1593,2296,0.40961686808948317,-0.29349465492414495,-0.536326,0.7798686808187895,-1141.4007129999998,-1502.6944060000003,0.5363398151979037
ALL,RECENT,UNKNOWN,SHORT,3362,1236,2126,0.36763831052944673,-0.6549495342058298,-0.7786824999999999,0.5961509806047451,-2201.940334,-2318.158776,0.46366018480209625
ALL,TRANSITION,UNKNOWN,LONG,2045,745,1300,0.3643031784841076,-0.6692543936430319,-0.923152,0.6286501852433243,-1368.6252350000002,-1550.4897950000015,0.5041913214990138
ALL,TRANSITION,UNKNOWN,SHORT,2011,761,1250,0.37841869716558924,-0.5624474331178518,-0.803962,0.6997783006613965,-1131.081788,-1153.571696999998,0.4958086785009862
BTC/USDT,LEGACY,UNKNOWN,LONG,1543,650,893,0.42125729099157483,-0.11911028386260532,-0.470363,0.9182276146146173,-183.787168,-406.9317859999999,0.5955229641065226
BTC/USDT,LEGACY,UNKNOWN,SHORT,1048,352,696,0.33587786259541985,-0.8735575019083969,-0.916734,0.5556281346893239,-915.488262,-958.5053429999999,0.40447703589347744
BTC/USDT,RECENT,UNKNOWN,LONG,1372,528,844,0.3848396501457726,-0.36078370408163263,-0.5237080000000001,0.649130410023644,-494.99524199999996,-494.9952420000001,0.534684333593141
BTC/USDT,RECENT,UNKNOWN,SHORT,1194,409,785,0.3425460636515913,-0.6912784396984925,-0.7888145,0.4923375900274237,-825.386457,-849.0711730000016,0.46531566640685895
BTC/USDT,TRANSITION,UNKNOWN,LONG,796,270,526,0.3391959798994975,-0.6558149987437187,-0.890437,0.5732353225903823,-522.0287390000001,-615.1428229999995,0.49874686716791977
BTC/USDT,TRANSITION,UNKNOWN,SHORT,800,269,531,0.33625,-0.68540371625,-0.8665335000000001,0.5715425487709901,-548.3229729999999,-548.3229730000002,0.5012531328320802
ETH/USDT,LEGACY,UNKNOWN,LONG,1290,550,740,0.4263565891472868,-0.17308709844961234,-0.7566465,0.9092261448447757,-223.28235699999993,-357.64179500000034,0.5728241563055062
ETH/USDT,LEGACY,UNKNOWN,SHORT,962,334,628,0.3471933471933472,-0.9711969241164242,-1.2674595,0.6174284686918978,-934.2914410000001,-953.2496940000007,0.4271758436944938
ETH/USDT,RECENT,UNKNOWN,LONG,1325,525,800,0.39622641509433965,-0.33524661132075473,-0.622587,0.7527247291633693,-444.20176,-553.0494400000003,0.5399348003259984
ETH/USDT,RECENT,UNKNOWN,SHORT,1129,402,727,0.35606731620903453,-0.5880147316209035,-0.810014,0.6246531759958058,-663.868632,-714.1473370000002,0.4600651996740016
ETH/USDT,TRANSITION,UNKNOWN,LONG,783,285,498,0.36398467432950193,-0.7661219489144316,-0.923152,0.5712627518348826,-599.873486,-660.9544619999996,0.5557132718239887
ETH/USDT,TRANSITION,UNKNOWN,SHORT,626,237,389,0.37859424920127793,-0.6286488146964856,-0.9007565,0.669300595628687,-393.534158,-413.71563600000013,0.44428672817601134
SOL/USDT,RECENT,UNKNOWN,LONG,1192,540,652,0.45302013422818793,-0.16963398573825503,-0.413951,0.897770416432362,-202.203711,-472.8084990000001,0.5342895562528014
SOL/USDT,RECENT,UNKNOWN,SHORT,1039,425,614,0.40904716073147257,-0.6859338257940326,-0.718087,0.6536744095268433,-712.6852449999999,-762.8110809999995,0.46571044374719855
SOL/USDT,TRANSITION,UNKNOWN,LONG,466,190,276,0.40772532188841204,-0.5294485193133047,-1.0240475,0.7679330409509678,-246.72301,-429.1023600000001,0.4433872502378687
SOL/USDT,TRANSITION,UNKNOWN,SHORT,585,255,330,0.4358974358974359,-0.32346095213675213,-0.45801,0.8541870845413302,-189.224657,-240.2588819999999,0.5566127497621313
