era,segment,sample_count,win_count,loss_count,win_rate,expectancy,median_return,profit_factor,total_return,max_drawdown
LEGACY,ALL_DIRECTIONAL,4843,1886,2957,0.38942804047078255,-0.4660023183976874,-0.779027,0.7549468351300833,-2256.849228,-2369.1644700000043
LEGACY,SCORE_GE_70,827,352,475,0.42563482466747277,-0.01879146674727934,-0.69071,0.9888027633238121,-15.540543000000014,-194.06393500000004
LEGACY,BAND_50_59,2560,1006,1554,0.39296875,-0.492887501171875,-0.739025,0.7334428870012547,-1261.792003,-1347.1284540000013
LEGACY,BAND_60_69,1456,528,928,0.3626373626373626,-0.672744973901099,-0.91214,0.6828067450330136,-979.5166820000001,-986.0975250000009
LEGACY,BAND_70_79,662,279,383,0.4214501510574018,-0.11109507401812689,-0.7381565,0.9370955018559365,-73.544939,-189.19915699999999
LEGACY,BAND_80_89,158,71,87,0.44936708860759494,0.41260324683544297,-0.2718295,1.316110436162034,65.191313,-45.21871899999999
LEGACY,BAND_90_PLUS,7,2,5,0.2857142857142857,-1.0267024285714286,-1.562072,0.425462834722527,-7.186917,-7.186917
TRANSITION,ALL_DIRECTIONAL,4056,1506,2550,0.371301775147929,-0.6162985756903354,-0.8661015000000001,0.6646052729837993,-2499.7070230000004,-2554.626581000005
TRANSITION,SCORE_GE_70,683,272,411,0.39824304538799415,-0.43728104099560766,-0.794265,0.742273480641479,-298.662951,-340.10772900000006
TRANSITION,BAND_50_59,2180,786,1394,0.3605504587155963,-0.6720282697247706,-0.8681975,0.6381726243919311,-1465.021628,-1496.056031999999
TRANSITION,BAND_60_69,1193,448,745,0.3755238893545683,-0.6169509170159262,-0.904457,0.6721856384162401,-736.022444,-737.3173430000013
TRANSITION,BAND_70_79,559,213,346,0.3810375670840787,-0.5709823703041145,-0.905989,0.6795220260333216,-319.179145,-361.69385400000016
TRANSITION,BAND_80_89,119,57,62,0.4789915966386555,0.15036713445378147,-0.317235,1.1110319575992271,17.893688999999995,-38.218451
TRANSITION,BAND_90_PLUS,5,2,3,0.4,0.524501,-0.265533,2.514596990910125,2.622505,-1.731487
RECENT,ALL_DIRECTIONAL,7251,2829,4422,0.39015308233347124,-0.4610868910495104,-0.656854,0.6857016319918048,-3343.341047,-3420.873707999997
RECENT,SCORE_GE_70,1390,573,817,0.41223021582733815,-0.2596186388489209,-0.5789625,0.8188129113983381,-360.869908,-417.3134359999997
RECENT,BAND_50_59,3598,1366,2232,0.37965536409116174,-0.4913048941078377,-0.6664760000000001,0.6597202762452927,-1767.715009,-1811.2370959999976
RECENT,BAND_60_69,2263,890,1373,0.3932832523199293,-0.536790159080866,-0.67011,0.6479875294620997,-1214.7561299999998,-1245.5821450000005
RECENT,BAND_70_79,1076,435,641,0.40427509293680297,-0.29661932899628246,-0.62724,0.8001500304953321,-319.16239799999994,-343.97802699999977
RECENT,BAND_80_89,298,131,167,0.4395973154362416,-0.16569712416107382,-0.3971115,0.868527111533195,-49.377743,-91.89110000000002
RECENT,BAND_90_PLUS,16,7,9,0.4375,0.4793895625,-0.8288175,1.4012859279944359,7.670233,-7.256160000000001
