scope,horizon_candles,coverage,gross_expectancy,net_expectancy,execution_cost_drag,gross_profit_factor,net_profit_factor,gross_win_rate,net_win_rate,gross_positive_net_negative,sample_count
ALL_DIRECTIONAL,1,1.0,0.045424,-0.543044,0.588468,1.096871,0.35694,0.474108,0.259842,True,14174
ALL_DIRECTIONAL,3,1.0,0.095349,-0.493119,0.588468,1.117504,0.575613,0.473825,0.344645,True,14174
ALL_DIRECTIONAL,6,1.0,0.150099,-0.438369,0.588468,1.128361,0.708966,0.476154,0.386482,True,14174
ALL_DIRECTIONAL,12,0.913221,0.300295,-0.289699,0.589994,1.183539,0.852142,0.487639,0.424289,True,12944
LONG,1,1.0,0.055294,-0.524715,0.580009,1.121545,0.361288,0.481417,0.262579,True,7453
LONG,3,1.0,0.147808,-0.432201,0.580009,1.19411,0.60715,0.486113,0.354622,True,7453
LONG,6,1.0,0.288127,-0.291882,0.580009,1.265355,0.792666,0.491614,0.40212,True,7453
LONG,12,0.915202,0.592992,0.011982,0.58101,1.384659,1.006493,0.509309,0.450227,False,6821
SHORT,1,1.0,0.034478,-0.563369,0.597847,1.071175,0.352388,0.466002,0.256807,True,6721
SHORT,3,1.0,0.037176,-0.560672,0.597848,1.042884,0.544346,0.460199,0.333581,True,6721
SHORT,6,1.0,-0.002962,-0.60081,0.597848,0.997653,0.628081,0.459009,0.369141,False,6721
SHORT,12,0.911025,-0.025768,-0.62577,0.600002,0.985203,0.700068,0.463498,0.395394,False,6123
SCORE_GE_70,1,1.0,0.052379,-0.526372,0.578751,1.10452,0.3952,0.461901,0.267054,True,2756
SCORE_GE_70,3,1.0,0.141577,-0.437174,0.578751,1.171262,0.625706,0.473512,0.353411,True,2756
SCORE_GE_70,6,1.0,0.27103,-0.307721,0.578751,1.238127,0.789718,0.482583,0.396226,True,2756
SCORE_GE_70,12,0.996372,0.392883,-0.185999,0.578882,1.241987,0.903985,0.488711,0.432265,True,2746
ALL_DIRECTIONAL,ADAPTIVE,1.0,0.267854,-0.320614,0.588468,1.169872,0.831514,0.482433,0.415408,True,14174
