policy,scope,fold,start_timestamp,end_timestamp,sample_count,win_count,loss_count,flat_count,win_rate,avg_return,median_return,avg_win,avg_loss,payoff_ratio,break_even_win_rate,expectancy,profit_factor,max_drawdown,total_return,positive
FIXED_CLOSE_1C_NET,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,768,2553,0,0.231256,-0.572492,-0.592278,1.064528,1.064945,0.999609,0.500098,-0.572492,0.300705,-1900.591705,-1901.247326,False
FIXED_CLOSE_1C_NET,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,978,2591,0,0.274026,-0.537324,-0.660189,1.313777,1.236042,1.06289,0.484757,-0.537324,0.401199,-1921.226966,-1917.71107,False
FIXED_CLOSE_1C_NET,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,975,2472,0,0.282855,-0.525107,-0.585825,1.106399,1.168602,0.946772,0.513671,-0.525107,0.373423,-1827.462766,-1810.044512,False
FIXED_CLOSE_1C_NET,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,962,2875,0,0.250717,-0.53899,-0.622058,1.134333,1.098898,1.032246,0.492066,-0.53899,0.345398,-2083.136349,-2068.103993,False
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,897,2424,0,0.270099,-0.575266,-0.562819,0.84898,1.102307,0.770184,0.564913,-0.575266,0.285006,-1909.801994,-1910.457615,False
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,1054,2515,0,0.295321,-0.584449,-0.65302,1.047816,1.268508,0.826023,0.547638,-0.584449,0.346174,-2089.414636,-2085.89874,False
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,1067,2380,0,0.309545,-0.532257,-0.563616,0.914855,1.181026,0.774627,0.563499,-0.532257,0.34728,-1846.261463,-1834.691071,False
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,1073,2764,0,0.279646,-0.558666,-0.604612,0.909954,1.128792,0.806131,0.55367,-0.558666,0.312944,-2144.025935,-2143.600469,False
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,925,2396,0,0.278531,-0.54471,-0.545352,0.856642,1.085717,0.789011,0.558968,-0.54471,0.304606,-1808.327263,-1808.982884,False
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,1074,2495,0,0.300925,-0.558411,-0.637627,1.05628,1.253472,0.842683,0.542687,-0.558411,0.362742,-1996.48413,-1992.968234,False
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,1078,2369,0,0.312736,-0.516363,-0.556725,0.922551,1.171132,0.787743,0.559365,-0.516363,0.358458,-1791.472346,-1779.901955,False
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,1080,2757,0,0.28147,-0.551661,-0.601845,0.911579,1.124856,0.810396,0.552365,-0.551661,0.317457,-2117.148486,-2116.72302,False
FIXED_CLOSE_3C_NET,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,1091,2230,0,0.328516,-0.491626,-0.628821,1.783105,1.60451,1.111308,0.47364,-0.491626,0.543694,-1661.330009,-1632.689294,False
FIXED_CLOSE_3C_NET,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,1295,2274,0,0.362847,-0.406411,-0.648186,2.178008,1.878188,1.159632,0.463042,-0.406411,0.660389,-1498.682578,-1450.479464,False
FIXED_CLOSE_3C_NET,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,1226,2221,0,0.355672,-0.499386,-0.656388,2.019051,1.889573,1.068522,0.483437,-0.499386,0.589828,-1768.507958,-1721.38467,False
FIXED_CLOSE_3C_NET,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,1273,2564,0,0.33177,-0.569434,-0.697849,1.758734,1.725345,1.019352,0.495208,-0.569434,0.506098,-2305.561565,-2184.917484,False
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,1394,1927,0,0.419753,-0.562242,-0.503018,1.028713,1.713145,0.600482,0.624812,-0.562242,0.434391,-1871.717041,-1867.205303,False
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,1558,2011,0,0.436537,-0.535951,-0.453477,1.25607,1.924299,0.652741,0.605055,-0.535951,0.505704,-1934.100705,-1912.809346,False
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,1504,1943,0,0.436321,-0.561852,-0.47775,1.179608,1.909848,0.617645,0.618183,-0.561852,0.478095,-1952.524246,-1936.702918,False
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,1617,2220,0,0.421423,-0.543092,-0.535258,1.088403,1.731438,0.628612,0.61402,-0.543092,0.457867,-2084.270226,-2083.84476,False
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,ALL_DIRECTIONAL,1,2023-07-30 12:00:00+00:00,2024-04-20 04:00:00+00:00,3321,1436,1885,0,0.4324,-0.516357,-0.454103,1.030591,1.694828,0.60808,0.62186,-0.516357,0.463238,-1720.168758,-1714.822052,False
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,ALL_DIRECTIONAL,2,2024-04-20 08:00:00+00:00,2025-01-03 00:00:00+00:00,3569,1589,1980,0,0.445223,-0.495489,-0.389845,1.261046,1.905153,0.661913,0.601716,-0.495489,0.531202,-1789.691823,-1768.400464,False
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,ALL_DIRECTIONAL,3,2025-01-03 04:00:00+00:00,2025-10-06 08:00:00+00:00,3447,1528,1919,0,0.443284,-0.530537,-0.425862,1.184088,1.895805,0.624584,0.615542,-0.530537,0.497323,-1844.583799,-1828.762471,False
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,ALL_DIRECTIONAL,4,2025-10-06 12:00:00+00:00,2026-07-08 12:00:00+00:00,3837,1632,2205,0,0.425332,-0.528928,-0.510133,1.088194,1.725819,0.630538,0.613295,-0.528928,0.466684,-2029.923015,-2029.497549,False
