policy,scope,coverage,sample_count,win_count,loss_count,flat_count,win_rate,avg_return,median_return,avg_win,avg_loss,payoff_ratio,break_even_win_rate,expectancy,profit_factor,max_drawdown,total_return
FIXED_CLOSE_1C_NET,ALL_DIRECTIONAL,1.0,14174,3683,10491,0,0.259842,-0.543044,-0.615203,1.160033,1.140931,1.016742,0.495849,-0.543044,0.35694,-7695.986747,-7697.106901
FIXED_CLOSE_1C_NET,LONG,1.0,7453,1957,5496,0,0.262579,-0.524715,-0.589791,1.130348,1.114045,1.014634,0.496368,-0.524715,0.361288,-3909.582151,-3910.702305
FIXED_CLOSE_1C_NET,SHORT,1.0,6721,1726,4995,0,0.256807,-0.563369,-0.651783,1.19369,1.170513,1.0198,0.495098,-0.563369,0.352388,-3785.93359,-3786.404596
FIXED_CLOSE_1C_NET,SCORE_GE_70,1.0,2756,736,2020,0,0.267054,-0.526372,-0.661228,1.287951,1.187432,1.084652,0.479696,-0.526372,0.3952,-1449.561025,-1450.681179
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,ALL_DIRECTIONAL,1.0,14174,4091,10083,0,0.288627,-0.562625,-0.595049,0.933381,1.169603,0.798032,0.556164,-0.562625,0.323788,-7973.52774,-7974.647894
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,LONG,1.0,7453,2121,5332,0,0.284583,-0.575908,-0.579538,0.866858,1.149822,0.753906,0.570156,-0.575908,0.299894,-4291.125529,-4292.245683
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,SHORT,1.0,6721,1970,4751,0,0.293111,-0.547895,-0.613338,1.005004,1.191804,0.843263,0.542516,-0.547895,0.349659,-3683.767311,-3682.402212
FIRST_TOUCH_T1_STOP_1C_STOP_FIRST,SCORE_GE_70,1.0,2756,828,1928,0,0.300435,-0.570061,-0.633971,0.946348,1.221298,0.77487,0.563421,-0.570061,0.332776,-1569.967027,-1571.087181
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,ALL_DIRECTIONAL,1.0,14174,4157,10017,0,0.293283,-0.543148,-0.584199,0.939585,1.158474,0.811054,0.552165,-0.543148,0.336583,-7697.455939,-7698.576093
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,LONG,1.0,7453,2168,5285,0,0.29089,-0.550112,-0.565957,0.875893,1.135085,0.771654,0.564444,-0.550112,0.316546,-4098.86594,-4099.986094
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,SHORT,1.0,6721,1989,4732,0,0.295938,-0.535425,-0.605874,1.009009,1.184596,0.851774,0.540023,-0.535425,0.358026,-3599.955098,-3598.589999
FIRST_TOUCH_T1_STOP_1C_TARGET_FIRST,SCORE_GE_70,1.0,2756,852,1904,0,0.309144,-0.538988,-0.605678,0.949736,1.205161,0.788057,0.559266,-0.538988,0.352639,-1484.331652,-1485.451806
FIXED_CLOSE_3C_NET,ALL_DIRECTIONAL,1.0,14174,4885,9289,0,0.344645,-0.493119,-0.658359,1.940658,1.77302,1.094549,0.47743,-0.493119,0.575613,-7011.821208,-6989.470912
FIXED_CLOSE_3C_NET,LONG,1.0,7453,2643,4810,0,0.354622,-0.432201,-0.614677,1.8836,1.704688,1.104953,0.47507,-0.432201,0.60715,-3220.9046,-3221.193904
FIXED_CLOSE_3C_NET,SHORT,1.0,6721,2242,4479,0,0.333581,-0.560672,-0.705188,2.007921,1.846402,1.087477,0.479047,-0.560672,0.544346,-3854.874194,-3768.277008
FIXED_CLOSE_3C_NET,SCORE_GE_70,1.0,2756,974,1782,0,0.353411,-0.437174,-0.665232,2.067913,1.806396,1.144773,0.46625,-0.437174,0.625706,-1208.574153,-1204.850226
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,ALL_DIRECTIONAL,1.0,14174,6073,8101,0,0.428461,-0.550343,-0.494124,1.140303,1.817754,0.627314,0.614509,-0.550343,0.470273,-7799.237649,-7800.562327
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,LONG,1.0,7453,3191,4262,0,0.42815,-0.566264,-0.475149,1.068594,1.790298,0.59688,0.626221,-0.566264,0.44689,-4221.013545,-4220.368841
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,SHORT,1.0,6721,2882,3839,0,0.428805,-0.532688,-0.513699,1.219701,1.848234,0.659928,0.602436,-0.532688,0.495418,-3586.742992,-3580.193486
FIRST_TOUCH_T1_STOP_3C_STOP_FIRST,SCORE_GE_70,1.0,2756,1222,1534,0,0.443396,-0.529309,-0.460433,1.123131,1.845659,0.608526,0.621687,-0.529309,0.484758,-1462.019775,-1458.77478
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,ALL_DIRECTIONAL,1.0,14174,6185,7989,0,0.436362,-0.517954,-0.452003,1.142918,1.803784,0.633623,0.612137,-0.517954,0.490544,-7340.992826,-7341.482536
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,LONG,1.0,7453,3265,4188,0,0.438079,-0.526664,-0.43177,1.072533,1.773411,0.604786,0.623136,-0.526664,0.471496,-3925.86859,-3925.223887
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,SHORT,1.0,6721,2920,3801,0,0.434459,-0.508296,-0.485738,1.22162,1.83725,0.664917,0.60063,-0.508296,0.510802,-3426.378003,-3416.258649
FIRST_TOUCH_T1_STOP_3C_TARGET_FIRST,SCORE_GE_70,1.0,2756,1253,1503,0,0.454644,-0.487014,-0.378939,1.123679,1.829793,0.614101,0.61954,-0.487014,0.511956,-1345.454628,-1342.209632
FIXED_CLOSE_6C_NET,ALL_DIRECTIONAL,1.0,14174,5478,8696,0,0.386482,-0.438369,-0.696932,2.763073,2.455101,1.125442,0.47049,-0.438369,0.708966,-6437.964785,-6213.443924
FIXED_CLOSE_6C_NET,LONG,1.0,7453,2997,4456,0,0.40212,-0.291882,-0.608507,2.775052,2.35463,1.178551,0.459021,-0.291882,0.792666,-2380.100679,-2175.39931
FIXED_CLOSE_6C_NET,SHORT,1.0,6721,2481,4240,0,0.369141,-0.60081,-0.775219,2.748603,2.560691,1.073383,0.482303,-0.60081,0.628081,-4458.944704,-4038.044614
FIXED_CLOSE_6C_NET,SCORE_GE_70,1.0,2756,1092,1664,0,0.396226,-0.307721,-0.669622,2.916639,2.423707,1.203379,0.453848,-0.307721,0.789718,-903.967783,-848.079427
FIRST_TOUCH_T1_STOP_6C_STOP_FIRST,ALL_DIRECTIONAL,1.0,14174,7234,6940,0,0.510371,-0.534581,0.174932,1.216979,2.360342,0.515594,0.659807,-0.534581,0.537436,-7604.301776,-7577.14874
FIRST_TOUCH_T1_STOP_6C_STOP_FIRST,LONG,1.0,7453,3809,3644,0,0.511069,-0.550735,0.199131,1.139079,2.317063,0.491605,0.670419,-0.550735,0.513865,-4139.351026,-4104.625314
FIRST_TOUCH_T1_STOP_6C_STOP_FIRST,SHORT,1.0,6721,3425,3296,0,0.509597,-0.516668,0.15612,1.303612,2.40819,0.541324,0.648793,-0.516668,0.562511,-3477.509634,-3472.523426
FIRST_TOUCH_T1_STOP_6C_STOP_FIRST,SCORE_GE_70,1.0,2756,1446,1310,0,0.524673,-0.493844,0.326843,1.167803,2.327998,0.501634,0.665941,-0.493844,0.553712,-1361.885051,-1361.034391
FIRST_TOUCH_T1_STOP_6C_TARGET_FIRST,ALL_DIRECTIONAL,1.0,14174,7369,6805,0,0.519896,-0.49636,0.272137,1.217571,2.352342,0.517599,0.658935,-0.49636,0.560498,-7063.551094,-7035.410288
FIRST_TOUCH_T1_STOP_6C_TARGET_FIRST,LONG,1.0,7453,3893,3560,0,0.52234,-0.506659,0.28439,1.140512,2.307905,0.494176,0.669265,-0.506659,0.540401,-3810.853504,-3776.127792
FIRST_TOUCH_T1_STOP_6C_TARGET_FIRST,SHORT,1.0,6721,3476,3245,0,0.517185,-0.48494,0.262311,1.303874,2.401094,0.543033,0.648074,-0.48494,0.58169,-3270.773834,-3259.282497
FIRST_TOUCH_T1_STOP_6C_TARGET_FIRST,SCORE_GE_70,1.0,2756,1483,1273,0,0.538099,-0.44448,0.396703,1.166265,2.32094,0.502497,0.665559,-0.44448,0.585391,-1225.836795,-1224.986135
FIXED_CLOSE_12C_NET,ALL_DIRECTIONAL,0.913221,12944,5492,7452,0,0.424289,-0.289699,-0.662278,3.935049,3.403268,1.156256,0.463767,-0.289699,0.852142,-4735.003757,-3749.8604
FIXED_CLOSE_12C_NET,LONG,0.915202,6821,3071,3750,0,0.450227,0.011982,-0.47862,4.125051,3.356348,1.22903,0.448626,0.011982,1.006493,-2034.166896,81.726706
FIXED_CLOSE_12C_NET,SHORT,0.911025,6123,2421,3702,0,0.395394,-0.62577,-0.81901,3.694036,3.450796,1.070488,0.482978,-0.62577,0.700068,-4786.133272,-3831.587106
FIXED_CLOSE_12C_NET,SCORE_GE_70,0.996372,2746,1187,1559,0,0.432265,-0.185999,-0.640489,4.051178,3.412124,1.187289,0.457187,-0.185999,0.903985,-961.210258,-510.754007
FIRST_TOUCH_T1_STOP_12C_STOP_FIRST,ALL_DIRECTIONAL,0.9885,14011,7795,6216,0,0.556349,-0.518273,0.494427,1.246848,2.731773,0.456425,0.686613,-0.518273,0.572366,-7292.994258,-7261.51787
FIRST_TOUCH_T1_STOP_12C_STOP_FIRST,LONG,0.989937,7378,4095,3283,0,0.555028,-0.537421,0.457992,1.171301,2.668768,0.438892,0.694979,-0.537421,0.547445,-4005.195665,-3965.08974
FIRST_TOUCH_T1_STOP_12C_STOP_FIRST,SHORT,0.986907,6633,3700,2933,0,0.557817,-0.496974,0.549329,1.330461,2.802295,0.474775,0.678069,-0.496974,0.598932,-3302.046495,-3296.42813
FIRST_TOUCH_T1_STOP_12C_STOP_FIRST,SCORE_GE_70,0.999274,2754,1546,1208,0,0.561365,-0.465058,0.505777,1.188418,2.581179,0.460417,0.684736,-0.465058,0.589242,-1284.402251,-1280.770305
FIRST_TOUCH_T1_STOP_12C_TARGET_FIRST,ALL_DIRECTIONAL,0.9885,14011,7932,6079,0,0.566127,-0.479304,0.530887,1.246698,2.731426,0.456427,0.686612,-0.479304,0.595556,-6747.995986,-6715.531828
FIRST_TOUCH_T1_STOP_12C_TARGET_FIRST,LONG,0.989937,7378,4179,3199,0,0.566414,-0.492897,0.49805,1.171988,2.667812,0.439307,0.694779,-0.492897,0.573887,-3676.698143,-3636.592218
