regime,gate,gate_family,filters,samples,net_avg_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mae_ratio,ci95_low_pct,ci95_high_pct,score,verdict
TRENDING_BEAR,STRUCTURE_SCORE_GE_10,component,"{""structure_score__ge"": 10}",47,0.6404,57.45,65.96,38.3,1.296,0.0773,1.2034,0.9828,REGIME_RESEARCH_CANDIDATE
TRENDING_BEAR,RISK_MEDIUM,risk,"{""risk_label"": ""Medium""}",37,0.5946,56.76,62.16,27.03,1.475,-0.4157,1.6049,0.923,REGIME_RESEARCH_CANDIDATE
TRENDING_BEAR,VOLUME_SCORE_GE_10,component,"{""volume_score__ge"": 10}",12,0.949,58.33,75.0,33.33,1.512,-0.3028,2.2007,1.3464,POSITIVE_LOW_SAMPLE
TRENDING_BEAR,QUALITY_STRUCTURE_RISK_MEDIUM,quality,"{""structure_score__ge"": 10, ""risk_label"": ""Medium""}",24,0.7975,58.33,66.67,33.33,1.487,-0.067,1.662,1.1862,POSITIVE_LOW_SAMPLE
TRENDING_BULL,BNB_LONG_SCORE_GE_60,symbol_side_score,"{""symbol"": ""BNB/USDT"", ""side"": ""LONG"", ""score__ge"": 60}",11,0.3533,72.73,72.73,54.55,1.374,-0.6043,1.3108,0.7183,POSITIVE_LOW_SAMPLE
TRENDING_BULL,VOLUME_SCORE_GE_10,component,"{""volume_score__ge"": 10}",17,0.4073,70.59,76.47,52.94,1.012,-0.7875,1.602,0.7139,POSITIVE_LOW_SAMPLE
TRENDING_BEAR,DOGE_SHORT_WATCH,symbol_side,"{""symbol"": ""DOGE/USDT"", ""side"": ""SHORT""}",25,0.0809,40.0,52.0,32.0,1.207,-1.1305,1.2923,0.032,POSITIVE_LOW_SAMPLE
TRENDING_BULL,HISTORICAL_EDGE_SCORE_GE_1,component,"{""historical_edge_score__ge"": 1}",31,-0.126,58.06,48.39,35.48,0.971,-0.706,0.4541,0.0104,NET_NEGATIVE_AFTER_COST
TRENDING_BULL,SCORE_GE_80,score,"{""score__ge"": 80}",16,-0.0115,56.25,56.25,56.25,0.89,-1.3092,1.2861,-0.0564,NET_NEGATIVE_AFTER_COST
TRENDING_BULL,SCORE_60_69,score_bucket,"{""score__ge"": 60, ""score__le"": 69}",39,-0.099,53.85,43.59,43.59,0.888,-0.7104,0.5123,-0.0783,NET_NEGATIVE_AFTER_COST
TRENDING_BEAR,XRP_SHORT_SCORE_GE_60,symbol_side_score,"{""symbol"": ""XRP/USDT"", ""side"": ""SHORT"", ""score__ge"": 60}",15,-0.137,40.0,66.67,46.67,1.088,-1.0544,0.7804,-0.1864,NET_NEGATIVE_AFTER_COST
TRENDING_BULL,ACTIONABLE_SCORE_GE_80,quality,"{""actionability"": ""ACTIONABLE"", ""score__ge"": 80}",15,-0.119,53.33,53.33,60.0,0.828,-1.4879,1.2499,-0.2594,NET_NEGATIVE_AFTER_COST
TRENDING_BULL,ACTIONABLE,actionability,"{""actionability"": ""ACTIONABLE""}",30,-0.2182,50.0,50.0,60.0,0.743,-1.1972,0.7608,-0.3735,NET_NEGATIVE_AFTER_COST
