decision_id,candle_timestamp,symbol,timeframe,side,root_cause_primary,root_cause_direction,root_cause_probability_pct,root_cause_confidence,root_cause_evidence_quality,root_cause_verdict,evaluation_status,return_after_4h_pct,return_after_12h_pct,return_after_24h_pct,signed_return_after_4h_pct,signed_return_after_12h_pct,signed_return_after_24h_pct,direction_correct_4h,direction_correct_12h,direction_correct_24h
8782f6983beb22b1,2026-07-10 08:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,47.74,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.6103,-0.409,-0.3281,0.6103,0.409,0.3281,True,True,True
503dadce97c9976f,2026-07-10 16:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,46.18,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,0.3364,0.3387,0.5361,-0.3364,-0.3387,-0.5361,False,False,False
b02ae7fe2b105ae9,2026-07-10 20:00:00,BTC/USDT,4h,NEUTRAL,MACRO_POLICY_PRESSURE,BEARISH,46.07,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.0567,0.033,-0.5747,0.0567,-0.033,0.5747,True,False,True
3a81916cf067dc15,2026-07-11 04:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,45.59,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.0111,0.1067,-0.5226,0.0111,-0.1067,0.5226,True,False,True
00f41894c0e1eb8c,2026-07-11 08:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,44.99,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.0089,-0.5612,-0.2608,0.0089,0.5612,0.2608,True,True,True
bd63b27e00fa757b,2026-07-11 12:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,46.2,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.2023,-0.3156,-0.3786,0.2023,0.3156,0.3786,True,True,True
264ad8f589baac98,2026-07-11 20:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,45.58,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.1393,-0.4502,-0.8127,0.1393,0.4502,0.8127,True,True,True
24d04734856aed0b,2026-07-11 16:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,45.51,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.7244,-0.6286,-0.095,0.7244,0.6286,0.095,True,True,True
e0163ae62a4873df,2026-07-12 00:00:00,BTC/USDT,4h,LONG,MACRO_POLICY_PRESSURE,BEARISH,45.58,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.5156,-0.0632,-2.1886,0.5156,0.0632,2.1886,True,True,True
60decbe99ef52ab6,2026-07-12 04:00:00,BTC/USDT,4h,NEUTRAL,MACRO_POLICY_PRESSURE,BEARISH,45.18,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,0.2054,0.5369,-1.403,-0.2054,-0.5369,1.403,False,False,True
73d723a8f7dabe21,2026-07-12 08:00:00,BTC/USDT,4h,NEUTRAL,MACRO_POLICY_PRESSURE,BEARISH,45.72,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,0.2488,-0.3641,-1.7338,-0.2488,0.3641,1.7338,False,True,True
167a3ebec29a4bdd,2026-07-12 16:00:00,BTC/USDT,4h,NEUTRAL,MACRO_POLICY_PRESSURE,BEARISH,44.71,MEDIUM,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,COMPLETE,-0.6927,-1.9296,-3.0093,0.6927,1.9296,3.0093,True,True,True
