scope,variant,removed_component,component_label,component_active,selected_threshold,threshold_selected_on_optimize,holdout_rank_correlation,top_decile_count,top_decile_expectancy,fixed_sample_count,fixed_win_count,fixed_loss_count,fixed_flat_count,fixed_win_rate,fixed_avg_return,fixed_median_return,fixed_expectancy,fixed_profit_factor,fixed_max_drawdown,fixed_total_return,optimized_sample_count,optimized_win_count,optimized_loss_count,optimized_flat_count,optimized_win_rate,optimized_avg_return,optimized_median_return,optimized_expectancy,optimized_profit_factor,optimized_max_drawdown,optimized_total_return,delta_fixed_expectancy_vs_full,delta_fixed_profit_factor_vs_full,delta_fixed_sample_count_vs_full,diagnosis
ALL,FULL,,Full Model,True,85.0,True,-0.04751,288,-0.719401,590,199,391,0,0.337288,-0.746615,-0.930822,-0.746615,0.496742,-470.451665,-440.50292,54,14,40,0,0.259259,-1.301235,-1.605827,-1.301235,0.271155,-77.656117,-70.266685,0.0,0.0,0,BASELINE
ALL,WITHOUT_TREND_SCORE,trend_score,Trend,True,55.0,True,-0.059694,341,-0.65898,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,29,70,0,0.292929,-0.947536,-1.113719,-0.947536,0.375096,-121.456349,-93.806079,0.746615,-0.496742,-590,INSUFFICIENT_HOLDOUT_SELECTION
ALL,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,55.0,True,-0.042805,323,-0.855458,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,33,72,0,0.314286,-0.90719,-1.305707,-0.90719,0.432533,-116.488712,-95.254972,0.746615,-0.496742,-590,INSUFFICIENT_HOLDOUT_SELECTION
ALL,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,,False,-0.036133,356,-0.767224,180,47,133,0,0.261111,-1.088894,-1.182566,-1.088894,0.292121,-212.131556,-196.000926,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.342279,-0.204621,-410,REMOVAL_HURTS
ALL,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,75.0,True,-0.038283,322,-0.614431,243,86,157,0,0.353909,-0.434103,-0.931649,-0.434103,0.668691,-128.230986,-105.486953,80,22,58,0,0.275,-1.013164,-1.216468,-1.013164,0.361268,-94.03527,-81.053102,0.312512,0.171949,-347,REMOVAL_IMPROVES_BUT_NEGATIVE
ALL,WITHOUT_REGIME_SCORE,regime_score,Regime,True,80.0,True,-0.05666,291,-0.710627,339,121,218,0,0.356932,-0.718192,-0.931649,-0.718192,0.507177,-277.467989,-243.466932,54,14,40,0,0.259259,-1.301235,-1.605827,-1.301235,0.271155,-77.656117,-70.266685,0.028423,0.010435,-251,NEUTRAL_OR_MIXED
ALL,WITHOUT_RISK_PENALTY,risk_penalty,Risk Penalty,True,,False,-0.052221,310,-1.087751,888,319,569,0,0.359234,-0.768836,-0.924379,-0.768836,0.537428,-822.107896,-682.726476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022221,0.040686,298,NEUTRAL_OR_MIXED
ALL,WITHOUT_EXTERNAL_CONTEXT_SCORE,external_context_score,External Context,False,85.0,True,-0.04751,288,-0.719401,590,199,391,0,0.337288,-0.746615,-0.930822,-0.746615,0.496742,-470.451665,-440.50292,54,14,40,0,0.259259,-1.301235,-1.605827,-1.301235,0.271155,-77.656117,-70.266685,0.0,0.0,0,INACTIVE
ALL,WITHOUT_ADAPTIVE_ADJUSTMENT,adaptive_adjustment,Adaptive Adjustment,True,80.0,True,-0.031349,295,-0.583559,462,157,305,0,0.339827,-0.710597,-0.936497,-0.710597,0.514862,-359.001468,-328.295765,58,17,41,0,0.293103,-0.948862,-1.216468,-0.948862,0.426345,-71.39987,-55.034012,0.036018,0.01812,-128,NEUTRAL_OR_MIXED
ALL,WITHOUT_HISTORICAL_EDGE_SCORE,historical_edge_score,Historical Edge,False,85.0,True,-0.04751,288,-0.719401,590,199,391,0,0.337288,-0.746615,-0.930822,-0.746615,0.496742,-470.451665,-440.50292,54,14,40,0,0.259259,-1.301235,-1.605827,-1.301235,0.271155,-77.656117,-70.266685,0.0,0.0,0,INACTIVE
SIDE:LONG,FULL,,Full Model,True,75.0,True,-0.033393,177,-0.902597,331,103,228,0,0.311178,-1.015019,-1.221683,-1.015019,0.380831,-347.794054,-335.971451,197,65,132,0,0.329949,-0.950697,-1.371049,-0.950697,0.423204,-204.339868,-187.287371,0.0,0.0,0,BASELINE
SIDE:LONG,WITHOUT_TREND_SCORE,trend_score,Trend,True,55.0,True,-0.045637,163,-0.751476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,17,45,0,0.274194,-1.112356,-1.37674,-1.112356,0.342743,-87.51938,-68.966056,1.015019,-0.380831,-331,INSUFFICIENT_HOLDOUT_SELECTION
SIDE:LONG,WITHOUT_MOMENTUM_SCORE,momentum_score,Momentum,True,55.0,True,-0.050726,156,-1.012645,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,17,44,0,0.278689,-1.401903,-1.629093,-1.401903,0.282634,-91.375059,-85.516111,1.015019,-0.380831,-331,INSUFFICIENT_HOLDOUT_SELECTION
SIDE:LONG,WITHOUT_VOLUME_SCORE,volume_score,Volume,True,70.0,True,-0.006256,175,-0.997131,108,25,83,0,0.231481,-1.311923,-1.40665,-1.311923,0.25256,-156.743067,-141.687684,108,25,83,0,0.231481,-1.311923,-1.40665,-1.311923,0.25256,-156.743067,-141.687684,-0.296904,-0.128271,-223,REMOVAL_HURTS
SIDE:LONG,WITHOUT_STRUCTURE_SCORE,structure_score,Structure,True,75.0,True,-0.017684,150,-0.606817,150,53,97,0,0.353333,-0.606817,-1.110974,-0.606817,0.585406,-107.355303,-91.022573,50,14,36,0,0.28,-1.032432,-1.372802,-1.032432,0.387207,-63.914097,-51.6216,0.408202,0.204575,-181,REMOVAL_IMPROVES_BUT_NEGATIVE
SIDE:LONG,WITHOUT_REGIME_SCORE,regime_score,Regime,True,70.0,True,-0.041475,179,-0.885766,199,66,133,0,0.331658,-0.935074,-1.371049,-0.935074,0.432754,-203.132274,-186.079777,199,66,133,0,0.331658,-0.935074,-1.371049,-0.935074,0.432754,-203.132274,-186.079777,0.079945,0.051923,-132,REMOVAL_IMPROVES_BUT_NEGATIVE
