scope,component,component_label,sample_count,active,mean_points,std_points,min_points,max_points,spearman_return,pearson_return,spearman_win,low_bin_avg_return,high_bin_avg_return,high_minus_low_return,diagnosis
ALL,trend_score,Trend,14174,True,26.951954,3.357138,6.0,28.0,0.000928,0.007529,0.005166,-0.173755,-0.428599,-0.254844,MIXED_OR_WEAK
ALL,momentum_score,Momentum,14174,True,23.259207,4.152668,8.0,30.0,-0.006195,0.000237,-0.008929,-0.203387,-0.433954,-0.230566,HARMFUL_ASSOCIATION
ALL,volume_score,Volume,14174,True,5.037957,4.722552,0.0,18.0,-0.002217,0.006467,0.022253,-0.486069,-0.445535,0.040534,MIXED_OR_WEAK
ALL,structure_score,Structure,14174,True,6.45012,2.5477,0.0,10.0,0.004428,0.012573,0.020757,-0.365289,-0.359937,0.005352,MIXED_OR_WEAK
ALL,regime_score,Regime,14174,True,4.265063,2.440764,-8.0,5.0,0.017416,0.012442,0.021791,-1.068512,-0.418133,0.650378,SUPPORTIVE_ASSOCIATION
ALL,risk_penalty,Risk Penalty,14174,True,-4.789333,4.407132,-25.0,0.0,0.027418,0.004765,-0.018971,-3.05568,-0.473742,2.581938,SUPPORTIVE_ASSOCIATION
ALL,external_context_score,External Context,14174,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.438369,-0.438369,0.0,INACTIVE
ALL,adaptive_adjustment,Adaptive Adjustment,14174,True,0.489206,2.771784,-8.0,6.0,-0.009563,0.006371,0.014358,-0.567464,-0.38752,0.179944,MIXED_OR_WEAK
ALL,historical_edge_score,Historical Edge,14174,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.438369,-0.438369,0.0,INACTIVE
SIDE:LONG,trend_score,Trend,7453,True,27.035422,3.199957,6.0,28.0,0.019295,0.023225,0.019468,,-0.267794,,MIXED_OR_WEAK
SIDE:LONG,momentum_score,Momentum,7453,True,23.199651,4.194662,8.0,30.0,-0.001765,0.002948,-0.002489,-0.056048,-0.345977,-0.289929,HARMFUL_ASSOCIATION
SIDE:LONG,volume_score,Volume,7453,True,5.064001,4.747798,0.0,18.0,0.000524,0.024324,0.013617,-0.385143,-0.118168,0.266975,SUPPORTIVE_ASSOCIATION
SIDE:LONG,structure_score,Structure,7453,True,6.469744,2.558072,0.0,10.0,0.007163,0.026814,0.009446,-0.138621,-0.070401,0.06822,SUPPORTIVE_ASSOCIATION
SIDE:LONG,regime_score,Regime,7453,True,4.29572,2.381225,-8.0,5.0,0.024446,0.017017,0.02641,,-0.266359,,MIXED_OR_WEAK
SIDE:LONG,risk_penalty,Risk Penalty,7453,True,-4.668858,4.286542,-25.0,0.0,0.021925,-0.047455,-0.006227,,-0.379365,,MIXED_OR_WEAK
SIDE:LONG,external_context_score,External Context,7453,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.291882,-0.291882,0.0,INACTIVE
SIDE:LONG,adaptive_adjustment,Adaptive Adjustment,7453,True,0.530122,2.756656,-8.0,6.0,-0.002095,0.032475,0.009897,-0.777995,0.038637,0.816632,MIXED_OR_WEAK
SIDE:LONG,historical_edge_score,Historical Edge,7453,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.291882,-0.291882,0.0,INACTIVE
SIDE:SHORT,trend_score,Trend,6721,True,26.859396,3.520935,6.0,28.0,-0.019636,-0.010346,-0.011583,0.304963,-0.609617,-0.91458,HARMFUL_ASSOCIATION
