scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
ALL,trend_score,Trend,0,"(5.999, 10.4]",48,6.0,-0.173755,-0.413527,0.416667
ALL,trend_score,Trend,1,"(10.4, 14.8]",7,11.0,-0.556099,-0.896001,0.428571
ALL,trend_score,Trend,2,"(14.8, 19.2]",1236,17.0,-0.558493,-0.665685,0.375405
ALL,trend_score,Trend,3,"(19.2, 23.6]",14,22.0,0.33748,-0.036669,0.5
ALL,trend_score,Trend,4,"(23.6, 28.0]",12869,28.0,-0.428599,-0.702953,0.387287
ALL,momentum_score,Momentum,0,"(7.999, 12.4]",39,10.923077,-0.203387,-0.487468,0.410256
ALL,momentum_score,Momentum,1,"(12.4, 16.8]",499,14.689379,-0.255065,-0.542443,0.39479
ALL,momentum_score,Momentum,2,"(16.8, 21.2]",3543,18.639853,-0.403818,-0.659256,0.401919
ALL,momentum_score,Momentum,3,"(21.2, 25.6]",6059,23.419541,-0.478121,-0.724933,0.37597
ALL,momentum_score,Momentum,4,"(25.6, 30.0]",4034,28.254834,-0.433954,-0.701693,0.387457
ALL,volume_score,Volume,0,"(-0.001, 3.6]",6598,0.743862,-0.486069,-0.690549,0.375417
ALL,volume_score,Volume,1,"(3.6, 7.2]",3418,5.778525,-0.32703,-0.673774,0.400527
ALL,volume_score,Volume,2,"(7.2, 10.8]",1483,9.0,-0.466956,-0.740881,0.389076
ALL,volume_score,Volume,3,"(10.8, 14.4]",2052,11.716374,-0.447615,-0.716005,0.38694
ALL,volume_score,Volume,4,"(14.4, 18.0]",623,15.024077,-0.445535,-0.650929,0.418941
ALL,structure_score,Structure,0,"(-0.001, 2.0]",440,0.018182,-0.365289,-0.533238,0.390909
ALL,structure_score,Structure,1,"(2.0, 4.0]",2667,3.217473,-0.505666,-0.729163,0.370454
ALL,structure_score,Structure,2,"(4.0, 6.0]",5063,5.980446,-0.505578,-0.688759,0.380012
ALL,structure_score,Structure,3,"(6.0, 8.0]",2617,7.140237,-0.353557,-0.690297,0.397784
ALL,structure_score,Structure,4,"(8.0, 10.0]",3387,10.0,-0.359937,-0.716638,0.399469
ALL,regime_score,Regime,0,"(-8.001, -5.4]",43,-8.0,-1.068512,-0.967613,0.302326
ALL,regime_score,Regime,1,"(-5.4, -2.8]",692,-4.83526,-0.420784,-0.659347,0.388728
ALL,regime_score,Regime,2,"(-2.8, -0.2]",181,-2.0,-0.768233,-0.839866,0.292818
ALL,regime_score,Regime,3,"(-0.2, 2.4]",357,0.0,-0.960582,-1.157139,0.313725
ALL,regime_score,Regime,4,"(2.4, 5.0]",12901,5.0,-0.418133,-0.674272,0.38997
ALL,risk_penalty,Risk Penalty,0,"(-25.001, -20.0]",55,-21.254545,-3.05568,-2.990469,0.309091
ALL,risk_penalty,Risk Penalty,1,"(-20.0, -15.0]",367,-16.681199,-0.557956,-1.840336,0.370572
ALL,risk_penalty,Risk Penalty,2,"(-15.0, -10.0]",1377,-11.984749,-0.207182,-0.635033,0.437908
ALL,risk_penalty,Risk Penalty,3,"(-10.0, -5.0]",4540,-6.961674,-0.406069,-0.67651,0.394273
ALL,risk_penalty,Risk Penalty,4,"(-5.0, 0.0]",7835,-1.593363,-0.473742,-0.682438,0.374218
ALL,external_context_score,External Context,0,CONSTANT,14174,0.0,-0.438369,-0.696932,0.386482
ALL,adaptive_adjustment,Adaptive Adjustment,0,"(-8.001, -5.2]",111,-7.387387,-0.567464,-0.65353,0.378378
ALL,adaptive_adjustment,Adaptive Adjustment,1,"(-5.2, -2.4]",1799,-3.668149,-0.346146,-0.64264,0.397443
ALL,adaptive_adjustment,Adaptive Adjustment,2,"(-2.4, 0.4]",6120,-0.723529,-0.503075,-0.70199,0.375654
ALL,adaptive_adjustment,Adaptive Adjustment,3,"(0.4, 3.2]",4180,1.98445,-0.403788,-0.673879,0.390909
ALL,adaptive_adjustment,Adaptive Adjustment,4,"(3.2, 6.0]",1964,5.339104,-0.38752,-0.829765,0.401222
ALL,historical_edge_score,Historical Edge,0,CONSTANT,14174,0.0,-0.438369,-0.696932,0.386482
SIDE:LONG,trend_score,Trend,0,"(5.999, 10.4]",16,6.0,-1.131189,-1.102993,0.1875
SIDE:LONG,trend_score,Trend,1,"(10.4, 14.8]",5,11.0,-0.820922,-0.896001,0.4
SIDE:LONG,trend_score,Trend,2,"(14.8, 19.2]",610,17.0,-0.545938,-0.698454,0.37377
SIDE:LONG,trend_score,Trend,3,"(19.2, 23.6]",7,22.0,0.691504,1.297325,0.571429
SIDE:LONG,trend_score,Trend,4,"(23.6, 28.0]",6815,28.0,-0.267794,-0.593291,0.404989
SIDE:LONG,momentum_score,Momentum,0,"(7.999, 12.4]",26,10.884615,-0.056048,-0.511942,0.384615
SIDE:LONG,momentum_score,Momentum,1,"(12.4, 16.8]",282,14.670213,-0.163726,-0.513523,0.404255
SIDE:LONG,momentum_score,Momentum,2,"(16.8, 21.2]",1910,18.663874,-0.283529,-0.644767,0.404712
SIDE:LONG,momentum_score,Momentum,3,"(21.2, 25.6]",3134,23.440651,-0.274197,-0.581593,0.402999
SIDE:LONG,momentum_score,Momentum,4,"(25.6, 30.0]",2101,28.260828,-0.345977,-0.648413,0.398382
SIDE:LONG,volume_score,Volume,0,"(-0.001, 3.6]",3441,0.696309,-0.385143,-0.590633,0.394071
SIDE:LONG,volume_score,Volume,1,"(3.6, 7.2]",1823,5.864509,-0.231782,-0.638231,0.40757
SIDE:LONG,volume_score,Volume,2,"(7.2, 10.8]",791,9.0,-0.286505,-0.634032,0.413401
SIDE:LONG,volume_score,Volume,3,"(10.8, 14.4]",1073,11.785648,-0.151493,-0.660021,0.400746
SIDE:LONG,volume_score,Volume,4,"(14.4, 18.0]",325,15.046154,-0.118168,-0.457947,0.433846
SIDE:LONG,structure_score,Structure,0,"(-0.001, 2.0]",240,0.0,-0.138621,-0.347577,0.433333
SIDE:LONG,structure_score,Structure,1,"(2.0, 4.0]",1402,3.246077,-0.414463,-0.668635,0.39301
SIDE:LONG,structure_score,Structure,2,"(4.0, 6.0]",2575,5.990291,-0.406344,-0.60318,0.396893
SIDE:LONG,structure_score,Structure,3,"(6.0, 8.0]",1428,7.116947,-0.271311,-0.724525,0.39986
SIDE:LONG,structure_score,Structure,4,"(8.0, 10.0]",1808,10.0,-0.070401,-0.559918,0.41427
