scope,score_band,sample_count,win_rate,avg_return,median_return,profit_factor,total_return,max_drawdown
ALL,50-54,3447,0.375399,-0.512733,-0.713593,0.669253,-1767.389012,-1902.456136
ALL,55-59,3500,0.385143,-0.456405,-0.677248,0.690044,-1597.419093,-1626.671376
ALL,60-64,2595,0.388054,-0.449619,-0.707819,0.703454,-1166.761849,-1200.747843
ALL,65-69,1876,0.392857,-0.444453,-0.696034,0.710957,-833.794543,-876.592566
ALL,70-74,1253,0.399042,-0.306709,-0.625551,0.792935,-384.306107,-401.642847
ALL,75-79,870,0.4,-0.25688,-0.672137,0.826031,-223.486027,-248.631189
ALL,80-84,423,0.385343,-0.436804,-0.776593,0.69957,-184.768207,-217.722221
ALL,85-89,180,0.388889,-0.354016,-0.687334,0.739491,-63.722944,-89.163981
ALL,90-100,30,0.366667,0.273462,-1.004897,1.249912,8.203858,-11.003415
SIDE:LONG,50-54,1699,0.384344,-0.386219,-0.660101,0.734046,-656.185925,-684.203754
SIDE:LONG,55-59,1881,0.395003,-0.385143,-0.630466,0.732643,-724.453053,-747.48655
SIDE:LONG,60-64,1361,0.410727,-0.2854,-0.608507,0.795492,-388.429818,-461.172556
SIDE:LONG,65-69,1018,0.414538,-0.145276,-0.532878,0.892865,-147.891172,-281.065604
SIDE:LONG,70-74,670,0.41791,-0.165955,-0.470644,0.878934,-111.190132,-198.748089
SIDE:LONG,75-79,459,0.413943,-0.059301,-0.485353,0.956319,-27.21897,-124.733258
SIDE:LONG,80-84,249,0.417671,-0.332679,-0.56299,0.761912,-82.837146,-127.708762
SIDE:LONG,85-89,94,0.414894,-0.415995,-0.414614,0.673858,-39.103519,-62.906208
SIDE:LONG,90-100,22,0.318182,0.086838,-1.186387,1.073183,1.910425,-13.545563
SIDE:SHORT,50-54,1748,0.366705,-0.6357,-0.763633,0.613673,-1111.203087,-1263.872205
SIDE:SHORT,55-59,1619,0.373687,-0.539201,-0.741064,0.642815,-872.96604,-891.158031
SIDE:SHORT,60-64,1234,0.363047,-0.630739,-0.798193,0.61756,-778.332031,-864.695618
SIDE:SHORT,65-69,858,0.367133,-0.799421,-0.874695,0.544022,-685.903371,-750.079524
SIDE:SHORT,70-74,583,0.377358,-0.468467,-0.756807,0.708689,-273.115975,-323.240817
SIDE:SHORT,75-79,411,0.384428,-0.477535,-0.815727,0.7033,-196.267057,-244.733853
SIDE:SHORT,80-84,174,0.33908,-0.585811,-0.987656,0.618358,-101.931061,-119.938889
SIDE:SHORT,85-89,86,0.360465,-0.286272,-0.904872,0.80259,-24.619425,-40.103671
SIDE:SHORT,90-100,8,0.5,0.786679,0.467438,1.936232,6.293433,-2.176375
REGIME:BULL,50-54,1438,0.38943,-0.360927,-0.630971,0.751364,-519.012335,-542.601719
REGIME:BULL,55-59,1696,0.397995,-0.346686,-0.599177,0.756775,-587.979503,-602.868973
REGIME:BULL,60-64,1243,0.416734,-0.280628,-0.554183,0.799644,-348.820907,-435.804613
REGIME:BULL,65-69,976,0.417008,-0.12494,-0.520022,0.907169,-121.94178,-255.087012
REGIME:BULL,70-74,666,0.418919,-0.160554,-0.470644,0.883007,-106.928939,-195.329514
REGIME:BULL,75-79,456,0.414474,-0.07277,-0.470635,0.946625,-33.18329,-124.733258
REGIME:BULL,80-84,249,0.417671,-0.332679,-0.56299,0.761912,-82.837146,-127.708762
REGIME:BULL,85-89,94,0.414894,-0.415995,-0.414614,0.673858,-39.103519,-62.906208
REGIME:BULL,90-100,22,0.318182,0.086838,-1.186387,1.073183,1.910425,-13.545563
REGIME:BEAR,50-54,1440,0.373611,-0.594937,-0.772111,0.640119,-856.709297,-1016.346675
REGIME:BEAR,55-59,1433,0.379623,-0.522385,-0.686663,0.655912,-748.57721,-777.514924
REGIME:BEAR,60-64,1148,0.358014,-0.648637,-0.818007,0.614266,-744.635362,-843.838785
REGIME:BEAR,65-69,824,0.366505,-0.799827,-0.914261,0.548079,-659.057608,-719.533145
REGIME:BEAR,70-74,581,0.376936,-0.481433,-0.75894,0.701517,-279.712651,-329.837493
REGIME:BEAR,75-79,410,0.385366,-0.471799,-0.814991,0.706321,-193.437721,-244.733853
REGIME:BEAR,80-84,174,0.33908,-0.585811,-0.987656,0.618358,-101.931061,-119.938889
REGIME:BEAR,85-89,86,0.360465,-0.286272,-0.904872,0.80259,-24.619425,-40.103671
REGIME:BEAR,90-100,8,0.5,0.786679,0.467438,1.936232,6.293433,-2.176375
REGIME:SIDEWAYS,50-54,279,0.390681,-0.287091,-0.628246,0.74749,-80.0985,-96.93981
REGIME:SIDEWAYS,55-59,181,0.348066,-0.830256,-0.864784,0.429672,-150.276373,-160.069399
REGIME:SIDEWAYS,60-64,91,0.450549,-0.03337,-0.328434,0.969041,-3.036685,-19.58344
REGIME:SIDEWAYS,65-69,25,0.48,0.041716,-0.158968,1.041025,1.04289,-15.505698
REGIME:SIDEWAYS,70-74,2,0.5,3.419152,3.419152,37.332986,6.838304,-0.188212
REGIME:VOLATILE,50-54,84,0.392857,-0.633985,-0.634751,0.706754,-53.254746,-91.644776
REGIME:VOLATILE,55-59,20,0.35,-0.288178,-2.436313,0.877314,-5.763564,-19.408696
REGIME:VOLATILE,60-64,8,0.25,-1.176538,-1.478949,0.323835,-9.4123,-9.019923
REGIME:VOLATILE,65-69,1,1.0,3.208537,3.208537,3.208537,3.208537,0.0
REGIME:VOLATILE,70-74,1,0.0,-0.42984,-0.42984,0.0,-0.42984,0.0
REGIME:QUIET,50-54,82,0.231707,-1.141842,-0.862553,0.342392,-93.631075,-94.32744
